Card,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MAJORITY_COUNT,MAJORITY_PERCENT,MINORITY,MINORITY_COUNT,MINORITY_PERCENT,MEDIAN,PCT90
1142,3,2700,2,3,1,2.333333333,0.471404521,7,2,2,2,66.66670227,3,1,33.33330154,2,3
1144,4,3600,3,3,0,3,0,12,1,3,4,100,3,4,100,3,3
1145,4,3600,4,4,0,4,0,16,1,4,4,100,4,4,100,4,4
1148,4,3600,3,3,0,3,0,12,1,3,4,100,3,4,100,3,3
1180,4,3600,2,3,1,2.75,0.433012702,11,2,3,3,75,2,1,25,3,3
1182,3,2700,3,3,0,3,0,9,1,3,3,100,3,3,100,3,3
1185,4,3600,3,3,0,3,0,12,1,3,4,100,3,4,100,3,3
1186,4,3600,3,4,1,3.5,0.5,14,2,3,2,50,3,2,50,3,4
1214,3,2700,2,3,1,2.333333333,0.471404521,7,2,2,2,66.66670227,3,1,33.33330154,2,3
1219,3,2700,2,2,0,2,0,6,1,2,3,100,2,3,100,2,2
1220,3,2700,2,2,0,2,0,6,1,2,3,100,2,3,100,2,2
1221,2,1800,4,4,0,4,0,8,1,4,2,100,4,2,100,4,4
1222,3,2700,2,3,1,2.666666667,0.471404521,8,2,3,2,66.66670227,2,1,33.33330154,3,3
1225,2,1800,2,2,0,2,0,4,1,2,2,100,2,2,100,2,2
1253,2,1800,3,3,0,3,0,6,1,3,2,100,3,2,100,3,3
1257,3,2700,2,3,1,2.666666667,0.471404521,8,2,3,2,66.66670227,2,1,33.33330154,3,3
1258,4,3600,2,3,1,2.75,0.433012702,11,2,3,3,75,2,1,25,3,3
1259,4,3600,2,3,1,2.75,0.433012702,11,2,3,3,75,2,1,25,3,3
1261,4,3600,1,2,1,1.75,0.433012702,7,2,2,3,75,1,1,25,2,2
1264,3,2700,3,3,0,3,0,9,1,3,3,100,3,3,100,3,3
1294,2,1800,2,2,0,2,0,4,1,2,2,100,2,2,100,2,2
1295,2,1800,2,2,0,2,0,4,1,2,2,100,2,2,100,2,2
1297,3,2700,4,4,0,4,0,12,1,4,3,100,4,3,100,4,4
1298,4,3600,4,4,0,4,0,16,1,4,4,100,4,4,100,4,4
1299,3,2700,3,3,0,3,0,9,1,3,3,100,3,3,100,3,3
1333,2,1800,3,3,0,3,0,6,1,3,2,100,3,2,100,3,3
1335,2,1800,2,2,0,2,0,4,1,2,2,100,2,2,100,2,2
1340,3,2700,2,3,1,2.333333333,0.471404521,7,2,2,2,66.66670227,3,1,33.33330154,2,3
1341,3,2700,2,3,1,2.333333333,0.471404521,7,2,2,2,66.66670227,3,1,33.33330154,2,3
1364,4,3600,2,3,1,2.5,0.5,10,2,2,2,50,2,2,50,2,3
1367,3,2700,3,4,1,3.333333333,0.471404521,10,2,3,2,66.66670227,4,1,33.33330154,3,4
1398,3,2700,2,2,0,2,0,6,1,2,3,100,2,3,100,2,2
1400,3,2700,4,4,0,4,0,12,1,4,3,100,4,3,100,4,4
1401,3,2700,3,3,0,3,0,9,1,3,3,100,3,3,100,3,3
1413,3,2700,3,3,0,3,0,9,1,3,3,100,3,3,100,3,3
1423,2,1800,2,2,0,2,0,4,1,2,2,66.66670227,2,2,66.66670227,2,2
1425,3,2700,3,3,0,3,0,9,1,3,3,100,3,3,100,3,3
