"","SampleSite_ID","Species","Plot_Sp","total","x0","x10","x30","x130","X","UNIQUE_ID","Contract","Zone","Easting","Northing","Coordinate_source","Latitude","Longitude","Aspect","Elevation","Slope","TWI","BEC_Zone","BEC_Subzone","BEC_Variant","Solar_Radiation","PARENT_SOILS","SOILNAME_1","TEXTURE_1","PERCENT_1","DRAIN_1","COFRAG_1","SOILNAME_2","TEXTURE_2","PERCENT_2","DRAIN_2","COFRAG_2","SOILNAME_3","TEXTURE_3","PERCENT_3","DRAIN_3","COFRAG_3","FIRE_NUMBER_1","FIRE_YEAR_1","BURN_SEVERITY_RATING_1","FIRE_DATE_1","PATCH_SIZE_1","CROWN_CLOSURE_1","SPECIES_CD_1_1","SPECIES_PCT_1_1","PROJ_AGE_1_1","PROJ_HEIGHT_1_1","SPECIES_CD_2_1","SPECIES_PCT_2_1","PROJ_AGE_2_1","PROJ_HEIGHT_2_1","SPECIES_CD_3_1","SPECIES_PCT_3_1","SPECIES_CD_4_1","SPECIES_PCT_4_1","SPECIES_CD_5_1","SPECIES_PCT_5_1","SPECIES_CD_6_1","SPECIES_PCT_6_1","DISTURBANCE_TYPE_1","DISTURBANCE_DATE_1","HARVEST_DATE_1","FIRE_NUMBER_2","FIRE_YEAR_2","BURN_SEVERITY_RATING_2","FIRE_DATE_2","PATCH_SIZE_2","CROWN_CLOSURE_2","SPECIES_CD_1_2","SPECIES_PCT_1_2","PROJ_AGE_1_2","PROJ_HEIGHT_1_2","SPECIES_CD_2_2","SPECIES_PCT_2_2","PROJ_AGE_2_2","PROJ_HEIGHT_2_2","SPECIES_CD_3_2","SPECIES_PCT_3_2","SPECIES_CD_4_2","SPECIES_PCT_4_2","SPECIES_CD_5_2","SPECIES_PCT_5_2","SPECIES_CD_6_2","SPECIES_PCT_6_2","DISTURBANCE_TYPE_2","DISTURBANCE_DATE_2","HARVEST_DATE_2","DISTANCE_TO_PERIMETER","Card","Beers_aspect","Azimuth","Distance"
"587",1772,"PLI","1772PLI",119,0,14,105,0,338,325,"",10,417503.0805,5805124.051,"Field lat/long",52.39014441,-124.2122834,135,1113,1.060660124,11.16635227,"SBPS","xc",NA,1028501.308,"GLACIOFLUVIAL ","NO SOILS DATA","",0,"",0,"","",0,"",0,"","",0,"",0,"C10784",2017,"Medium","2017-07-07",6750.045527,27,"PLI",96,108,11.80000019,"SX",3,86,10,"AT",1,"",NA,NA,NA,NA,NA,"IBM","2003-08-01","","",NA,"","",NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","",NA,192.1709709,1772,0.19884736426617,"S","34.6"
"588",1789,"PLI","1789PLI",46,0,0,43,3,340,326,"",10,476793,5802667,"Field UTM",52.37377917,-123.3408924,45,1245,1.767766953,7.947476387,"SBPS","xc",NA,1035360.094,"TILL ","TYEE","SL",60,"MW",20,"SALT LAKE","SIL",40,"W",19,"","-",NA,"",NA,"C10784",2017,"Low","2017-07-07",961.8393539,10,"PLI",80,108,14.19999981,"AT",15,108,14.19999981,"SX",5,"",NA,NA,NA,NA,NA,"IBM","2003-08-01","","",NA,"","",NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","",NA,88.30538194,1789,1.89399666360056,"E","4.1"
"589",1791,"PLI","1791PLI",137,21,110,6,0,327,327,"",10,478551,5802553,"Field UTM",52.37282594,-123.3150619,110.3764343,1249,9.334076881,6.283521652,"SBPS","dc",NA,1058124.682,"TILL ","TYEE","SL",85,"W",NA,"UNDIFFERENTIATED BEDROCK","-",15,"-",NA,"","-",NA,"",NA,"C10784",2017,"Low","2017-07-07",0.915342999,10,"PLI",100,25,4.599999905,"",NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,"","","1989-01-01","",NA,"","",NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","",NA,351.6346094,1791,0.00875235461124613,"E","4.7"
"590",1792,"NonCon","1792NonCon",45,0,0,34,11,332,328,"",10,485559,5802261,"Field UTM",52.37043033,-123.2121106,278.6156616,1201,8.34416008,6.395631313,"SBPS","dc",NA,1025813.161,"TILL ","SALT LAKE","SIL",60,"W",19,"TYEE","SL",40,"MW",20,"","-",NA,"",NA,"C10784",2017,"Medium","2017-07-07",23.82116933,10,"PLI",50,27,5,"AT",40,NA,NA,"SX",10,"",NA,NA,NA,NA,NA,"","","1987-01-01","",NA,"","",NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","",NA,21.80382693,1792,0.968386987700276,"W","37.3"
"591",1792,"PLI","1792PLI",119,6,29,84,0,332,328,"",10,485559,5802261,"Field UTM",52.37043033,-123.2121106,278.6156616,1201,8.34416008,6.395631313,"SBPS","dc",NA,1025813.161,"TILL ","SALT LAKE","SIL",60,"W",19,"TYEE","SL",40,"MW",20,"","-",NA,"",NA,"C10784",2017,"Medium","2017-07-07",23.82116933,10,"PLI",50,27,5,"AT",40,NA,NA,"SX",10,"",NA,NA,NA,NA,NA,"","","1987-01-01","",NA,"","",NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","",NA,21.80382693,1792,0.968386987700276,"W","37.3"
"592",1793,"NonCon","1793NonCon",43,0,0,34,9,328,329,"",10,486559,5802216,"Field UTM",52.37005121,-123.1974208,261.0273743,1236,4.808845997,9.585793495,"SBPS","dc",NA,1044163.424,"TILL ","TYEE","SL",85,"W",NA,"UNDIFFERENTIATED BEDROCK","-",15,"-",NA,"","-",NA,"",NA,"C10784",2017,"Low","2017-07-07",192.6410301,10,"PLI",50,27,5,"AT",40,NA,NA,"SX",10,"",NA,NA,NA,NA,NA,"","","1987-01-01","",NA,"","",NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","",NA,401.5229108,1793,0.0383689200488645,"W","20.9"
"593",1793,"PLI","1793PLI",127,8,47,72,0,328,329,"",10,486559,5802216,"Field UTM",52.37005121,-123.1974208,261.0273743,1236,4.808845997,9.585793495,"SBPS","dc",NA,1044163.424,"TILL ","TYEE","SL",85,"W",NA,"UNDIFFERENTIATED BEDROCK","-",15,"-",NA,"","-",NA,"",NA,"C10784",2017,"Low","2017-07-07",192.6410301,10,"PLI",50,27,5,"AT",40,NA,NA,"SX",10,"",NA,NA,NA,NA,NA,"","","1987-01-01","",NA,"","",NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","",NA,401.5229108,1793,0.0383689200488645,"W","20.9"
"594",1794,"NR","1794NR",326,0,43,283,0,331,330,"",10,487564,5802176,"Field UTM",52.36971533,-123.182658,81.02737427,1275,4.808845997,6.946736336,"SBPS","dc",NA,1041110.983,"TILL ","TYEE","SL",85,"W",NA,"UNDIFFERENTIATED BEDROCK","-",15,"-",NA,"","-",NA,"",NA,"C10784",2017,"Medium","2017-07-07",7370.614425,42,"SX",63,143,20.70000076,"PLI",33,83,12.30000019,"AT",4,"",NA,NA,NA,NA,NA,"IBM","2003-08-01","","",NA,"","",NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","",NA,326.7772413,1794,1.35570484348197,"E","123"
"595",1795,"NonCon","1795NonCon",33,0,0,19,14,325,331,"",10,488566,5802130,"Field UTM",52.36932361,-123.1679393,26.56505203,1272,1.118034005,8.405621529,"SBPS","dc",NA,1040175.499,"TILL ","TYEE","SL",85,"W",NA,"UNDIFFERENTIATED BEDROCK","-",15,"-",NA,"","-",NA,"",NA,"C10784",2017,"Low","2017-07-07",51.53826349,10,"PLI",80,26,4.800000191,"AT",10,NA,NA,"SX",10,"",NA,NA,NA,NA,NA,"","","1987-01-01","",NA,"","",NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","",NA,28.23504175,1795,1.63775418762932,"N","4"
"596",1795,"PLI","1795PLI",129,36,76,17,0,325,331,"",10,488566,5802130,"Field UTM",52.36932361,-123.1679393,26.56505203,1272,1.118034005,8.405621529,"SBPS","dc",NA,1040175.499,"TILL ","TYEE","SL",85,"W",NA,"UNDIFFERENTIATED BEDROCK","-",15,"-",NA,"","-",NA,"",NA,"C10784",2017,"Low","2017-07-07",51.53826349,10,"PLI",80,26,4.800000191,"AT",10,NA,NA,"SX",10,"",NA,NA,NA,NA,NA,"","","1987-01-01","",NA,"","",NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","",NA,28.23504175,1795,1.63775418762932,"N","4"
