"","Contract","Plot ID","Zone","Easting","Northing","Coordinate source","FDI_count_bin","PLI_count_bin","Spruce_count_bin","Species_1"
"330",NA,1794,10,487564,5802176,"Field UTM",0,0,0,"Spruce"
"331",NA,1795,10,488566,5802130,"Field UTM",0,1,0,"PLI"
"332",NA,1796,10,489564,5802088,"Field UTM",0,0,0,"PLI"
"333",NA,1798,10,491563,5802013,"Field UTM",0,1,0,"AT"
"334",NA,1805,10,412547.8219,5806319.975,"Field lat/long",0,1,0,"PLI"
"335",NA,1807,10,471847.6712,5738930.704,"Intended lat/long",0,0,0,"PLI"
"336",NA,1816,10,425553.3787,5805783.559,"Field lat/long",0,0,0,"PLI"
"337",NA,1825,10,473972,5803814,"Field UTM",0,1,0,"PLI"
"338",NA,1831,10,486600,5803212,"Field UTM",0,0,0,"AT"
"339",NA,1833,10,488607,5803120,"Field UTM",0,1,0,"PLI"
"340",NA,1835,10,492612,5802957,"Field UTM",0,0,0,"PLI"
"341",NA,1836,10,493608,5802923,"Field UTM",0,0,0,"PLI"
"342",NA,1840,10,411584.7513,5807374.126,"Field lat/long",0,0,0,"PLI"
"343",NA,1844,10,417588.2305,5807118.544,"Field lat/long",0,1,1,"PLI"
"344",NA,1845,10,418593.0979,5807072.882,"Field lat/long",0,1,0,"PLI"
"345",NA,1876,10,491646,5803994,"Field UTM",0,1,1,"Spruce"
"346",NA,1889,10,414628.1916,5808239.335,"Field lat/long",0,1,0,"PLI"
"347",NA,1916,10,473669,5805761,"Field UTM",0,1,0,"PLI"
"348",NA,1931,10,490693,5805036,"Field UTM",0,1,1,"PLI"
"349",NA,1936,10,409665.328,5809447.308,"Field lat/long",0,0,0,"PLI"
"350",NA,1942,10,416671.488,5809151.067,"Field lat/long",0,0,0,"Spruce"
"351",NA,1979,10,405700.4216,5810611.174,"Field lat/long",0,1,0,"PLI"
"352",NA,1981,10,407709.2566,5810532.857,"Field lat/long",0,1,0,"PLI"
"353",NA,1982,10,408708.5682,5810481.919,"Field lat/long",0,1,1,"PLI"
"354",NA,2034,10,408755.6118,5811476.838,"Field lat/long",0,0,0,"PLI"
"355",NA,2035,10,409741.4294,5811441.932,"Field lat/long",0,1,0,"PLI"
"356",NA,2041,10,416755.0138,5811146.039,"Field lat/long",0,1,0,"PLI"
"357",NA,2042,10,417754.634,5811043.308,"Field lat/long",0,0,0,"AT"
"358",NA,2043,10,418756.4778,5811060.679,"Field lat/long",0,0,0,"PLI"
"359",NA,2107,10,418799.1928,5812056.822,"Field lat/long",0,1,0,"PLI"
"360",NA,2108,10,419799.0036,5812017.248,"Field lat/long",0,1,0,"PLI"
"361",NA,2111,10,422806.2329,5811890.06,"Field lat/long",0,1,0,"PLI"
"362",NA,2113,10,424809.4651,5811811.137,"Field lat/long",0,0,0,"PLI"
"363",NA,2115,10,427806.9122,5811679.934,"Field lat/long",0,0,0,"PLI"
"364",NA,2155,10,412831.8136,5813304.664,"Field lat/long",0,1,0,"PLI"
"365",NA,2158,10,418839.8299,5813055.227,"Field lat/long",0,0,0,"AT"
"366",NA,2159,10,420841.8354,5812971.689,"Field lat/long",0,1,0,"PLI"
"367",NA,2195,10,493898,5809896,"Field UTM",0,1,0,"PLI"
"368",NA,2200,10,404867.4839,5814633.766,"Field lat/long",0,1,0,"PLI"
"369",NA,2202,10,406869.5817,5814551.959,"Field lat/long",0,1,0,"PLI"
"370",NA,2205,10,410875.6503,5814389.765,"Field lat/long",0,1,1,"PLI"
"371",NA,2208,10,415879.1283,5814178.044,"Field lat/long",0,0,0,"PLI"
"372",NA,2210,10,418884.6375,5814051.561,"Field lat/long",0,0,0,"PLI"
"373",NA,2211,10,419883.3361,5814006.227,"Field lat/long",0,1,0,"PLI"
"374",NA,2212,10,420888.2149,5813964.334,"Field lat/long",0,1,0,"PLI"
"375",NA,2213,10,421895.1434,5813922.615,"Field lat/long",0,0,0,"PLI"
"376",NA,2251,10,488941,5811098,"Field UTM",0,1,0,""
"377",NA,2253,10,492946,5810930,"Field UTM",0,0,1,""
"378",NA,2269,10,415921.0602,5815173.639,"Field lat/long",0,0,0,"PLI"
"379",NA,2271,10,417921.5897,5815090.024,"Field lat/long",0,0,0,"PLI"
"380",NA,2272,10,418925.5242,5815045.514,"Field lat/long",0,1,0,"PLI"
"381",NA,2311,10,486977,5812171,"Field UTM",0,1,0,"Spruce"
"382",NA,2312,10,487983,5812139,"Field UTM",0,1,1,"PLI"
"383",NA,2317,10,494991,5811844,"Field UTM",0,1,0,"PLI"
"384",NA,2318,10,495989,5811795,"Field UTM",0,1,0,"PLI"
"385",NA,2334,10,418967.7792,5816040.558,"Field lat/long",0,0,0,"PLI"
"386",NA,2336,10,420969.2293,5815960.276,"Field lat/long",0,1,0,"PLI"
"387",NA,2378,10,485026,5813256,"Field UTM",0,1,0,"PLI"
"388",NA,2379,10,486026,5813215,"Field UTM",0,1,0,"PLI"
"389",NA,2380,10,487025,5813179,"Field UTM",0,1,0,"PLI"
"390",NA,2412,10,422010.3954,5816913.969,"Field lat/long",0,1,0,"PLI"
"391",NA,2414,10,424014.3718,5816831.433,"Field lat/long",0,0,0,"PLI"
"392",NA,2460,10,493070,5813919,"Field UTM",0,1,0,"PLI"
"393",NA,2523,10,494117,5814875,"Field UTM",0,1,0,"PLI"
"394",NA,2626,10,430187.4312,5820565.545,"Field lat/long",0,1,0,"PLI"
"395",NA,2644,10,426225.8543,5821730.488,"Field lat/long",0,1,0,"PLI"
"396",NA,2646,10,428227.8579,5821647.655,"Field lat/long",0,0,0,"PLI"
"397",NA,2647,10,430229.6572,5821562.196,"Field lat/long",0,1,0,"PLI"
"398",NA,2662,10,428270.2508,5822642.407,"Field lat/long",0,1,0,"PLI"
"399",NA,2664,10,430272.4049,5822558.063,"Field lat/long",0,1,0,"PLI"
"400",NA,1153,10,430187.7,5820565.4,"Intended lat/long",0,1,0,"PLI"
"401",NA,1192,10,426225.8,5821730.1,"Intended lat/long",0,1,0,"PLI"
"402",NA,1484,10,476512.3,5801644.5,"Intended lat/long",0,0,0,"FDI"
"403",NA,1500,10,485519.6,5801264.8,"Intended lat/long",0,1,0,"PLI"
"404",NA,1501,10,489522.9,5801096,"Intended lat/long",0,1,0,"PLI"
"405",NA,1502,10,414500.6,5805249.3,"Intended lat/long",0,0,0,"AT"
