,,Contract,Plot ID,Zone,Easting,Northing,Coordinate source,FDI_count_bin,PLI_count_bin,Sx_count_bin,Distance to FDI (m),Distance to PLI (m),Distance to Sx (m),Distance to tree,notes,notes 2,
0,,NA,903,10,482527,5754459,Field UTM,1,1,0,,,,21,,,
0,,NA,907,10,497534,5753821,Field UTM,1,0,0,,,,89.9,,,
0,,NA,933,10,455552,5756596,Field UTM,1,0,0,,,,10.7,,,
0,0,NA,939,10,478567,5755623,Field UTM,0,0,0,,,,95.2,,,
0,,NA,949,10,498585,5754777,Field UTM,1,1,0,,,,15.3,,,
0,,NA,974,10,455597,5757592,Field UTM,0,1,0,,,,8.4,,,
0,,NA,981,10,480608,5756546,Field UTM,1,0,0,,,,7.6,,,
0,,NA,988,10,495616,5755899,Field UTM,1,1,0,,,,12.4,,,
0,,NA,1012,10,454638,5758632,Field UTM,0,1,0,,,,495.9,,,
0,,NA,1022,10,494662,5756938,Field UTM,0,0,0,,,,716.9,,,
0,,NA,1024,10,499668,5756731,Field UTM,1,0,0,,,,91.2,,,
L,,NA,1045,10,482710,5758459,Field UTM,1,0,0,,,,,,Live tree on plot,
0,,NA,1049,10,494703,5757939,Field UTM,1,1,0,,,,19.4,,,
0,1.8,NA,1050,10,496703,5757855,Field UTM,0,1,0,,,,58.1,,,
L,,NA,1052,10,498708,5757769,Field UTM,0,1,1,,,,,,Live tree on plot,
L,,NA,1053,10,499706,5757731,Field UTM,1,1,0,,,,,,Live tree on plot,
0,,NA,1068,10,455723,5760582,Field UTM,1,1,0,,,,127.8,,,
0,,NA,1069,10,456723,5760539,Field UTM,0,1,0,,,,289,,,
L,,NA,1075,10,483738,5759396,Field UTM,1,0,0,,,,,,Live tree on plot,
0,,NA,1080,10,494747,5758936,Field UTM,0,0,1,,,,560,,,
0,,NA,1099,10,455766,5761578,Field UTM,1,0,0,,,,11.4,,,
L,,NA,1108,10,483787,5860401,Field UTM,1,0,0,,,,,,Live tree on plot,
0,-0.3,NA,1109,10,484781,5760359,Field UTM,0,0,0,,,,27.1,,,
L,,NA,1110,10,486782,5760270,Field UTM,1,0,0,,,,,,Live tree on plot,
0,,Elhdaqox,1111,10,473236,5742071,Field UTM,1,1,0,,,,1032,,,
0,,Toosey,1111,10,491788,5760060,Field UTM,1,1,0,,,,4.3,,,
0,,NA,1113,10,495795,5759894,Field UTM,0,1,0,,,,52.5,,,
0,,NA,1114,10,497790,5759808,Field UTM,0,1,0,,,,29.7,,,
0,,NA,1115,10,499790,5759721,Field UTM,0,1,0,,,,25.3,,,
0,,NA,1139,10,476822,5761694,Field UTM,1,1,0,,,,6.5,,,
L,,NA,1142,10,485823,5761308,Field UTM,1,0,0,,,,,,Live tree on plot,
0,,NA,1144,10,492855,5761016,Field UTM,1,1,0,,,,59.8,,,
0,,NA,1145,10,493826,5760968,Field UTM,0,1,0,,,,182.6,,,
0,4.2,NA,1148,10,496850,5760848,Field UTM,0,1,0,,,,42.3,,,
0,,NA,1153,10,430187.7,5820565.4,Intended lat/long,0,1,0,,,,522.8,Same point as 2626,,
0,,NA,1160,10,444849,5764035,Field UTM,0,1,0,,,,27.6,,,
0,,NA,1180,10,492871,5762011,Field UTM,1,1,0,,,,10.2,,,
0,,NA,1182,10,494880,5761926,Field UTM,1,1,0,,,,21.8,,,
