SampleSite_ID,dNBR,BARC
1926,0.382169882,3
1902,0.048441382,1
1907,0.359423031,3
1918,0.211443633,2
1940,0.812067151,4
1978,0.279260581,3
1975,0.313997306,3
1955,0.291840285,3
1956,0.420621239,3
1963,0.45079188,3
1958,0.093887508,1
1953,0.351974111,3
1954,0.210020134,2
1950,0.020191291,1
1946,0.674781799,4
1938,0.555746466,3
1973,0.130223803,2
1965,0.647661448,3
1970,0.233036276,2
1966,0.461607456,3
1969,0.215297759,2
1949,0.186434095,2
1968,0.218422597,2
1980,0.209476039,2
1985,0.175632212,2
2026,0.276316676,3
1994,0.650800988,3
2024,0.15211089,2
1992,0.133598415,2
1989b,0.456430852,3
2010,0.442617349,3
1999,0.213873744,2
2000,0.209740065,2
2001,0.123442953,2
2027,0.639486452,3
1989a,0.462234527,3
2020,0.155987588,2
2007,0.32295691,3
2008,0.306905329,3
2011,0.237766571,2
2016,0.271250899,2
2025,0.275741736,3
1991,0.214749744,2
1990,0.443764756,3
1984,0.286551222,3
2022,0.22844848,2
2018,0.354624078,3
2023,0.161921223,2
2094,0.339336485,3
2085,0.207802181,2
2082,0.445315301,3
2048,0.47087501,3
2090,0.289701492,3
2060,0.559072047,3
2063,-0.033374288,1
2089,0.071213755,1
2057,0.27154243,2
2069,0.204345564,2
2070,0.164737428,2
2062,0.488255421,3
2073,0.288494875,3
2066,0.338465979,3
2068,-0.261027649,1
2058,0.252537936,2
2075,0.253240998,2
2055,0.406262189,3
2039,0.606489368,3
2087,0.189725038,2
2046,0.661743065,4
2053,0.359585732,3
2037,0.184921868,2
2081,0.368632257,3
2146,0.210860282,2
2148,0.324927613,3
2117,0.198354046,2
2147,0.300752471,3
2101,0.689773699,4
2138,0.345411263,3
2121,0.202356016,2
2126,0.253585391,2
2129,0.483646654,3
2132,0.229310792,2
2140,0.248934336,2
2114,0.518495433,3
2098,0.153738039,2
2122,0.024008184,1
2118,0.140993503,2
2144,0.176102335,2
2125,0.33599481,3
2183,0.342420809,3
2166,0.494577497,3
2191,0.245916203,2
2192,0.273041084,2
2186,0.414385557,3
2198,0.006071374,1
2187,0.464689516,3
2175,0.174828388,2
2171,0.322137132,3
2178,0.272448997,2
2179,0.497190326,3
2176,0.067087572,1
2177,0.100042569,1
2180,0.334615489,3
2167,0.200528244,2
2168,0.185590987,2
2170,0.110548999,2
2152,0.628582935,3
2250,0.023280501,1
2234,0.333144993,3
2219,0.258022308,2
2256,0.214441066,2
2235,0.50119178,3
2218,0.575936715,3
2230,0.149604095,2
2222,0.113743578,2
2232,0.444949269,3
2227,0.279773141,3
2240,0.09904099,1
2231,0.305442284,3
2246,0.481887594,3
2225,0.713862081,4
2243,0.334112863,3
2244,0.233626852,2
2223,-0.007091361,1
2221,0.207805643,2
2224,0.163600283,2
2320,0.371091604,3
2289,0.45597135,3
2285,0.026224334,1
2308,0.03424345,1
2279,0.541454926,3
2301,0.385586008,3
2291,0.31736581,3
2299,0.403232247,3
2294,0.651968986,3
2283,0.147678304,2
2290,0.218301617,2
2297,0.221788839,2
2278,0.216342829,2
2293,0.363004893,3
2307,0.201847421,2
2305,0.265384655,2
2292,0.907610089,4
2306,0.499135027,3
2300,0.321625009,3
2348,0.333276309,3
2377,0.416761465,3
2375,0.072165196,1
2372,0.52258347,3
2354,0.001682554,1
2356,0.065524014,1
2368,0.47773687,3
2357,0.572980776,3
2358,0.345523904,3
2361,0.058721305,1
2362,0.419059267,3
2363,0.317918614,3
2367,0.75445201,4
2360,0.589958549,3
2349,0.113437437,2
2353,0.448468973,3
2365,0.259370193,2
2369,0.158089176,2
2383,0.392745664,3
2371,0.367642552,3
2347,-0.034147621,1
2374,0.350001276,3
2351,-0.009052081,1
2128,0.700417469,4
2341,0.144948296,2
2415,0.116217258,2
2427,0.049954502,1
2453,0.279081866,3
2420,0.218933493,2
2463,0.274453208,2
2429,0.357291877,3
2448,0.581652343,3
2430,-0.018323847,1
2434,0.217209734,2
2435,0.219850749,2
2424,0.096867584,1
2447,0.590475897,3
2421,0.156208605,2
2425,0.509464641,3
2442,0.4549749,3
2445,0.384454817,3
2446,0.377335697,3
2418,0.082820057,1
2456,0.582851569,3
2450,0.414894328,3
2419,0.429815665,3
2441,0.251250972,2
2485,0.423962156,3
2491,0.097254689,1
2508,0.311469689,3
2503,0.31676979,3
2504,0.115467738,2
2505,0.225440241,2
2506,0.425746396,3
2497,0.262112647,2
2507,0.148084313,2
2498,-0.004702005,1
2499,0.350094832,3
2500,0.538300097,3
2501,0.478177689,3
2495,0.155810468,2
2510,0.238387126,2
2525,0.589100858,3
2487,0.276460866,3
2490,0.082014343,1
2484,0.150831778,2
2570,0.506487302,3
2558,0.285200765,3
2560,0.157973446,2
2571,0.3035583,3
5249,0.42315951,3
2573,0.519849852,3
2550,0.370095015,3
2551,0.710619648,4
2603,0.360798786,3
2604,0.553038696,3
2593,0.366658588,3
2595,0.329989165,3
2628,0.099767578,1
2621,0.41117046,3
2627,0.753143057,4
2643,0.445351645,3
2666,0.130346563,2
2673,0.107665419,2
2679,0.733174548,4
2718,0.001122418,1
2745,0.093348678,1
