Card,ID,Display Name,Quandrant,Species,x0,x10,x30,x130,Notes,x
845,5.19974E+11,Regen: NW - PLI,NW,PLI,0,6,48,0,Age 11,
845,9.60451E+11,Regen: SE - PLI,SE,PLI,0,3,64,18,Age 12,
845,7.11479E+11,Regen: SW - PLI,SW,PLI,0,9,74,2,Age 12,
846,3.63681E+11,Regen: NE - PLI,NE,PLI,0,38,142,0,Only measured this quadrant,
846,9.92061E+11,Regen: NW - ,NW,,,,,,Did not count. Similar to NE quad.,
846,6.43036E+11,Regen: SE - ,SE,,,,,,Did not count. Similar to NE quad.,
846,5.24624E+11,Regen: SW - ,SW,,,,,,Did not count. Similar to NE quad.,
847,3.91496E+11,Regen: NE - FDI,NE,FDI,1,0,0,0,,
847,8.19365E+11,Regen: NE - PLI,NE,PLI,0,7,12,4,,
847,5.79373E+11,Regen: NW - PLI,NW,PLI,0,9,6,1,,
847,3.15934E+11,Regen: SE - PLI,SE,PLI,0,16,15,0,,
847,9.2294E+11,Regen: SW - PLI,SW,PLI,0,8,1,0,,
851,2.34414E+11,Regen: NE - PLI,NE,PLI,2,13,17,,,
851,4.20312E+11,Regen: NW - PLI,NW,PLI,5,11,19,,,
851,9.8419E+11,Regen: SE - PLI,SE,PLI,,6,33,8,,
851,6.23336E+11,Regen: SW - PLI,SW,PLI,1,4,30,,,
852,7.67586E+11,Regen: NE - PLI,NE,PLI,,1,6,,,
852,9.05748E+11,Regen: NW - PLI,NW,PLI,,,14,,,
852,1.30292E+11,Regen: SE - PLI,SE,PLI,,,9,18,,
852,6.35224E+11,Regen: SW - PLI,SW,PLI,,5,28,4,,
857,7.7263E+11,Regen: NE - FDI,NE,FDI,1,13,5,,,
857,7.17993E+11,Regen: NW - FDI,NW,FDI,4,24,4,,,
857,4.80462E+11,Regen: SE - FDI,SE,FDI,12,21,1,,,
857,2.88741E+11,Regen: SW - FDI,SW,FDI,14,33,11,,,
859,4.7549E+11,Regen: NE - AT,NE,AT,,,21,19,,
859,1.13376E+11,Regen: NE - FDI,NE,FDI,7,1,,,,
859,3.57503E+11,Regen: NE - SW,NE,SW,5,,,,,
859,3.00867E+11,Regen: NW - AT,NW,AT,,,5,23,,
859,2.76005E+11,Regen: NW - FDI,NW,FDI,4,,,,,
859,1.06096E+11,Regen: NW - SW,NW,SW,11,,,,,
859,6.22956E+11,Regen: SE - AT,SE,AT,,,11,19,,
859,8.95596E+11,Regen: SE - FDI,SE,FDI,4,4,,,,
859,5.03804E+11,Regen: SE - SW,SE,SW,3,1,,,,
859,7.82111E+11,Regen: SW - AT,SW,AT,,,8,15,,
859,7.47551E+11,Regen: SW - FDI,SW,FDI,4,2,,,,
859,9.6917E+11,Regen: SW - SW,SW,SW,1,,,,,
860,3.69771E+11,Regen: NE - PLI,NE,PLI,,1,,,,
860,5.4038E+11,Regen: NW - ,NW,,,,,,,
860,9.95506E+11,Regen: SE - AT,SE,AT,,,,3,,
