Plot_ID,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,MEDIAN,PCT90
1362,3,2700,0.696597755,0.722837508,0.026239753,0.705562135,0.012218446,2.116686404,0.697251141,0.717720234
1360,3,2700,0.691982925,0.731683195,0.03970027,0.708558838,0.016856046,2.125676513,0.702010393,0.725748634
1355,4,3600,0.313851088,0.339398712,0.025547624,0.324953243,0.009364376,1.299812973,0.323281586,0.335335684
1381,3,2700,0.445247829,0.467309773,0.022061944,0.458766083,0.009669266,1.376298249,0.463740647,0.466595948
1383,4,3600,-0.266513556,-0.185469508,0.081044048,-0.222744297,0.03348513,-0.890977189,-0.219497062,-0.188456653
1378,3,2700,0.338295847,0.467545092,0.129249245,0.400710732,0.052858242,1.202132195,0.396291256,0.453294325
1396,3,2700,-0.089248538,-0.057762887,0.031485651,-0.074186828,0.012890004,-0.222560484,-0.075549059,-0.061320122
1393,3,2700,0.298383445,0.375491172,0.077107728,0.348183155,0.035268566,1.044549465,0.370674849,0.374527907
1406,3,2700,0.119276509,0.144344687,0.025068179,0.135088166,0.01123479,0.405264497,0.141643301,0.14380441
1629,2,1800,-0.101592511,-0.024845051,0.07674746,-0.063218781,0.03837373,-0.126437562,-0.063218781,-0.032519797
1639,3,2700,0.253485352,0.28298375,0.029498398,0.270056933,0.012315359,0.810170799,0.273701698,0.28112734
1667,4,3600,0.536548376,0.577789009,0.041240633,0.555805743,0.015202031,2.223222971,0.554442793,0.57251609
4667,4,3600,0.203095764,0.312411487,0.109315723,0.248246346,0.039802047,0.992985383,0.238739066,0.290424919
1682,3,2700,0.365675658,0.384365946,0.018690288,0.373848637,0.00780827,1.121545911,0.371504307,0.381793618
1683,3,2700,0.375971377,0.452712089,0.076740712,0.415156474,0.031350445,1.245469421,0.416785955,0.445526862
1718,3,2700,0.174183995,0.215584978,0.041400984,0.201001575,0.01898713,0.603004724,0.213235751,0.215115133
1716,4,3600,0.044920348,0.249983013,0.205062665,0.164702263,0.084845823,0.658809051,0.181952845,0.246780965
1734,3,2700,0.141002998,0.1544303,0.013427302,0.148813178,0.005696797,0.446439534,0.151006237,0.153745487
1713,2,1800,0.237559885,0.262189716,0.024629831,0.2498748,0.012314916,0.499749601,0.2498748,0.259726733
1725,2,1800,0.565604925,0.582674801,0.017069876,0.574139863,0.008534938,1.148279727,0.574139863,0.580967814
1743,3,2700,0.618424356,0.733173251,0.114748895,0.694800794,0.054006507,2.084402382,0.732804775,0.733099556
1745,3,2700,0.243818507,0.265827,0.022008494,0.255720402,0.009074167,0.767161205,0.257515699,0.26416474
1744,3,2700,0.587531924,0.630297661,0.042765737,0.605075339,0.018283896,1.815226018,0.597396433,0.623717415
1748,3,2700,0.471984744,0.543658793,0.071674049,0.510220249,0.029456753,1.530660748,0.515017211,0.537930477
1780,2,1800,0.443947166,0.564249694,0.120302528,0.50409843,0.060151264,1.008196861,0.50409843,0.552219442
1785,3,2700,0.139736369,0.219103619,0.07936725,0.169503783,0.035306126,0.50851135,0.149671361,0.205217168
1778,3,2700,0.382572681,0.387426853,0.004854172,0.384852439,0.00199263,1.154557317,0.384557784,0.386853039
1824,3,2700,0.162039667,0.219762668,0.057723001,0.194472884,0.02410059,0.583418652,0.201616317,0.216133398
1822,4,3600,0.513239443,0.545790851,0.032551408,0.52913034,0.011521542,2.116521358,0.528745532,0.540840799
1818,2,1800,0.318821937,0.374013722,0.055191785,0.346417829,0.027595893,0.692835659,0.346417829,0.368494543
1820,4,3600,0.361293972,0.393887788,0.032593817,0.376334652,0.014142999,1.505338609,0.375078425,0.39168261
1852,4,3600,0.086980119,0.127313033,0.040332913,0.113329371,0.015623449,0.453317486,0.119512167,0.125646567
1860,4,3600,0.176174387,0.24434641,0.068172023,0.210589297,0.026139485,0.842357188,0.210918196,0.238607766
1857,4,3600,0.064762451,0.354242235,0.289479785,0.222919533,0.106449422,0.891678132,0.236336723,0.329906669
1861,3,2700,0.505460203,0.620062113,0.11460191,0.572977384,0.048966065,1.718932152,0.593409836,0.614731658
1859,3,2700,0.275773168,0.350047857,0.074274689,0.320767005,0.032294022,0.962301016,0.336479992,0.347334284
1870,2,1800,0.446659148,0.477567762,0.030908614,0.462113455,0.015454307,0.92422691,0.462113455,0.474476901
1869,3,2700,0.192143485,0.223680854,0.031537369,0.207351332,0.012899484,0.622053996,0.206229657,0.220190614
1908,3,2700,0.434752494,0.465200454,0.03044796,0.445014934,0.014273991,1.335044801,0.435091853,0.459178734
1888,3,2700,0.023664702,0.063859276,0.040194575,0.040520467,0.017037671,0.121561401,0.034037422,0.057894906
1922,2,1800,0.193740651,0.325094312,0.131353661,0.259417482,0.065676831,0.518834963,0.259417482,0.311958946
1891,3,2700,0.624806821,0.651808321,0.0270015,0.640607814,0.011493291,1.921823442,0.645208299,0.650488317
1900,2,1800,0.255218744,0.286931813,0.031713068,0.271075279,0.015856534,0.542150557,0.271075279,0.283760506
1924,3,2700,0.200656459,0.262254894,0.061598435,0.229531527,0.025294253,0.68859458,0.225683227,0.25494056
1898,3,2700,0.305265725,0.389931083,0.084665358,0.353887836,0.035690583,1.061663508,0.366466701,0.385238206
1895,3,2700,0.353436798,0.504617929,0.151181132,0.419737488,0.06310224,1.259212464,0.401157737,0.483925891
1903,3,2700,0.161862776,0.22721602,0.065353245,0.203414291,0.029485056,0.610242873,0.221164078,0.226005632
1926,3,2700,0.369566351,0.389086902,0.019520551,0.382169882,0.008926189,1.146509647,0.387856394,0.388840801
1902,3,2700,0.04046176,0.053850859,0.013389099,0.048441382,0.005760279,0.145324145,0.051011525,0.053282993
1907,3,2700,0.324555457,0.393865496,0.069310039,0.359423031,0.028297302,1.078269094,0.359848142,0.387062025
1918,1,900,0.211443633,0.211443633,0,0.211443633,0,0.211443633,0.211443633,0.211443633
1940,2,1800,0.765866399,0.858267903,0.092401505,0.812067151,0.046200752,1.624134302,0.812067151,0.849027753
1978,3,2700,0.246501818,0.331962228,0.08546041,0.279260581,0.037631187,0.837781742,0.259317696,0.317433321
1975,4,3600,0.276958138,0.339905441,0.062947303,0.313997306,0.023568686,1.255989224,0.319562823,0.336095747
1955,2,1800,0.263330817,0.320349753,0.057018936,0.291840285,0.028509468,0.58368057,0.291840285,0.314647859
1956,4,3600,0.364788175,0.455831796,0.091043621,0.420621239,0.033987753,1.682484955,0.430932492,0.449875611
1963,2,1800,0.447357506,0.454226255,0.00686875,0.45079188,0.003434375,0.901583761,0.45079188,0.45353938
1958,2,1800,0.075143218,0.112631798,0.03748858,0.093887508,0.01874429,0.187775016,0.093887508,0.10888294
1953,4,3600,0.217218772,0.449644595,0.232425824,0.351974111,0.088138523,1.407896444,0.370516539,0.436903191
1954,4,3600,0.11489182,0.280002296,0.165110476,0.210020134,0.071164131,0.840080537,0.222593211,0.2792034
1950,4,3600,-0.097382955,0.162869558,0.260252513,0.020191291,0.094571559,0.080765164,0.007639281,0.123887635
1946,4,3600,0.648492336,0.713116586,0.06462425,0.674781799,0.023686774,2.699127197,0.668759137,0.70051344
1938,4,3600,0.42626971,0.668853879,0.242584169,0.555746466,0.095535964,2.222985864,0.563931137,0.654891747
1973,4,3600,0.107568309,0.154342353,0.046774045,0.130223803,0.016699757,0.520895213,0.129492275,0.147823633
1965,4,3600,0.612505257,0.66158253,0.049077272,0.647661448,0.020456276,2.59064579,0.658279002,0.661506784
1970,4,3600,0.202748001,0.275540292,0.072792292,0.233036276,0.02645688,0.932145104,0.226928405,0.261196992
1966,3,2700,0.410770416,0.512623668,0.101853251,0.461607456,0.041581609,1.384822369,0.461428285,0.502384591
1969,3,2700,0.191179454,0.229889005,0.038709551,0.215297759,0.017179076,0.645893276,0.224824816,0.228876168
1949,3,2700,0.141268507,0.222690925,0.081422418,0.186434095,0.033832204,0.559302285,0.195342854,0.217221311
1968,3,2700,0.196556032,0.26103875,0.064482719,0.218422597,0.030137621,0.65526779,0.197673008,0.248365602
1980,2,1800,0.209328011,0.209624067,0.000296056,0.209476039,0.000148028,0.418952078,0.209476039,0.209594461
1985,4,3600,0.14803341,0.214956775,0.066923365,0.175632212,0.024850247,0.702528849,0.169769332,0.203449316
2026,4,3600,0.244229347,0.334236205,0.090006858,0.276316676,0.036108633,1.105266705,0.263400577,0.317716649
1994,4,3600,0.554964483,0.701941669,0.146977186,0.650800988,0.057089694,2.603203952,0.6731489,0.696576929
2024,3,2700,0.130603403,0.172598079,0.041994676,0.15211089,0.017159428,0.456332669,0.153131187,0.1687047
1992,3,2700,0.072237514,0.248109937,0.175872423,0.133598415,0.081041219,0.400795244,0.080447793,0.214577508
1989b,3,2700,0.431983203,0.495009035,0.063025832,0.456430852,0.027602148,1.369292557,0.44230032,0.484467292
