Map Page Number,SampleSite_ID,Latitude,Longitude
14,2372,52.47278558,-123.3678003
14,2374,52.47211516,-123.3383248
14,2375,52.47109554,-123.2941132
14,2446,52.48174652,-123.367252
14,2447,52.48141218,-123.352511
14,2448,52.48107597,-123.3377703
14,2450,52.48005614,-123.2935496
14,2451,52.47936693,-123.2640702
14,2558,52.50000083,-123.3809019
14,2560,52.49933374,-123.3514075
14,2562,52.49865918,-123.321914
14,2564,52.49763335,-123.2776756
15,2089,52.42241329,-123.1350057
15,2147,52.43173539,-123.1491316
15,2148,52.43137342,-123.1344095
15,2191,52.44141401,-123.1779893
15,2192,52.4410557,-123.1632636
15,2250,52.45037423,-123.1774018
15,2251,52.45001585,-123.1626731
15,2309,52.46039856,-123.2210108
15,2311,52.45969098,-123.1915461
15,2312,52.45933439,-123.1768141
15,2377,52.46970994,-123.2351678
15,2378,52.46935887,-123.220432
15,2379,52.46900594,-123.2056965
15,2380,52.46865115,-123.1909612
15,2381,52.46793596,-123.1614914
15,2382,52.46757557,-123.1467568
15,2383,52.46721332,-123.1320225
15,2384,52.4668492,-123.1172885
15,2453,52.47867026,-123.2345918
15,2456,52.47725452,-123.175638
15,2565,52.49481567,-123.1597169
16,2090,52.42168392,-123.1055684
16,2094,52.4198279,-123.0319796
16,2149,52.4280319,-123.0019223
16,2195,52.4392362,-123.0896393
16,2198,52.43812214,-123.0454677
16,2253,52.44856369,-123.1037609
16,2254,52.44782642,-123.0743063
16,2255,52.4470817,-123.0448527
16,2256,52.44670654,-123.0301263
16,2316,52.45715571,-123.0884274
16,2317,52.45678607,-123.0736972
16,2318,52.45641456,-123.0589672
16,2320,52.45566596,-123.029508
16,2385,52.46648321,-123.1025547
16,2388,52.46537407,-123.0583548
16,2460,52.47544288,-123.1019512
16,2463,52.47396,-123.0430062
16,2466,52.47282825,-122.9988002
16,2522,52.48440249,-123.1013474
16,2523,52.48403449,-123.0866077
16,2525,52.48291931,-123.0423902
16,2570,52.49262403,-123.0712582
16,2571,52.49225222,-123.056516
16,2573,52.49150302,-123.0270323
16,2600,52.50121148,-123.0559025
16,2601,52.50083774,-123.0411575
16,2603,52.50008465,-123.0116681
16,2604,52.49970531,-122.9969239
17,1979,52.43755361,-124.3872121
17,1980,52.4373484,-124.3724799
18,1653,52.34727978,-124.3464575
18,1738,52.38162855,-124.2420915
18,1770,52.39081532,-124.2564417
18,1771,52.39059354,-124.241726
18,1805,52.40021834,-124.2855169
18,1807,52.39978029,-124.2560791
18,1840,52.40939961,-124.2998824
18,1888,52.41814827,-124.2848035
18,1889,52.41771004,-124.2553534
18,1936,52.42775663,-124.3286319
18,1938,52.4273295,-124.2991749
18,1940,52.42689491,-124.2697184
18,1981,52.43714132,-124.3577478
18,1982,52.43693238,-124.3430158
18,1984,52.43629435,-124.2988209
18,1985,52.43607795,-124.2840895
19,1739,52.38140496,-124.2273791
19,1740,52.38095217,-124.1979548
19,1741,52.38072298,-124.1832428
