SampleSite_ID,Latitude,Longitude,MapPageID,Aspect,Elevation,Slope,TWI,Zone,Subzone,Variant,Solar_Radiation,PARENT_SOILS,SOILNAME_1,TEXTURE_1,PERCENT_1,DRAIN_1,COFRAG_1,SOILNAME_2,TEXTURE_2,PERCENT_2,DRAIN_2,COFRAG_2,SOILNAME_3,TEXTURE_3,PERCENT_3,DRAIN_3,COFRAG_3,Fire_Year_1,Fire_Number_1,Fire_Date_1,Fire_Severity_1,Severity_Patch_Size_1,Species_1,Age_1,Height_1,Crown_Closure_1,Disturbance_Type_1,Disturbance_Date_1,Harvest_Date_1,Fire_Year_2,Fire_Number_2,Fire_Date_2,Fire_Severity_2,Severity_Patch_Size_2,Species_2,Age_2,Height_2,Crown_Closure_2,Disturbance_Type_2,Disturbance_Date_2,Harvest_Date_2,Distance_to_Perimeter
872,51.96965863,-125.0752291,58,350.7273865,879,24.82438278,7.097126484,IDF,dw,,825338.2568,GLACIOLACUSTRINE ,NO SOILS DATA,,0,,0,,,0,,0,,,0,,0,2017,C50744,2017-07-07,Unburned,1.854216482,PL,84,16,30,IBM,2007-07-01,,,,,,,,,,,,,,0
873,51.96954052,-125.0606526,58,341.8057861,904,37.63143539,5.582500935,IDF,dw,,742180.1834,GLACIOLACUSTRINE ,NO SOILS DATA,,0,,0,,,0,,0,,,0,,0,2017,C50744,2017-07-07,Unburned,1.294981977,PL,90,12.2,31,IBM,2007-07-01,,,,,,,,,,,,,,0
874,51.96942057,-125.0460761,58,41.82017136,869,12.74754906,5.97185421,IDF,dw,,921538.4449,FLUVIAL ,NO SOILS DATA,,0,,0,,,0,,0,,,0,,0,2017,C50744,2017-07-07,Medium,2.292937352,AT,99,22.7,40,,,,,,,,,,,,,,,,62.6031538
875,51.96929877,-125.0314997,58,203.7135925,966,29.21686172,5.142447472,IDF,dw,,1115035.998,GLACIOLACUSTRINE ,NO SOILS DATA,,0,,0,,,0,,0,,,0,,0,2017,C50744,2017-07-07,Low,1554.006229,PL,99,10.5,18,IBM,2007-07-01,,,,,,,,,,,,,,46.25401065
876,51.96917512,-125.0169234,58,332.5602722,1002,29.29590416,5.832892895,SBPS,xc,,830350.9977,GLACIOLACUSTRINE ,NO SOILS DATA,,0,,0,,,0,,0,,,0,,0,2017,C50744,2017-07-07,Medium,134.9480726,FD,129,17.4,25,IBM,2007-07-01,,,,,,,,,,,,,,263.6740846
877,51.96892228,-124.9877711,58,350.9421082,912,17.46782684,5.656832695,SBPS,xc,,888102.8355,GLACIOLACUSTRINE ,NO SOILS DATA,,0,,0,,,0,,0,,,0,,0,2017,C50744,2017-07-07,Low,0.962578844,S,79,17.6,40,,,,,,,,,,,,,,,,1.370128177
878,51.96879309,-124.9731951,58,331.2323608,986,29.0903759,5.839933395,SBPS,xc,,831153.9148,GLACIOLACUSTRINE ,NO SOILS DATA,,0,,0,,,0,,0,,,0,,0,2017,C50744,2017-07-07,Low,180.3678929,PL,129,22,24,IBM,2007-07-01,,,,,,,,,,,,,,247.5834086
879,51.96866205,-124.9586191,58,68.19859314,1055,8.077747345,9.372519493,SBPS,xc,,987469.3159,TILL ,NO SOILS DATA,,0,,0,,,0,,0,,,0,,0,2017,C50744,2017-07-07,Low,180.3678929,PL,179,18,15,IBM,2007-07-01,,,,,,,,,,,,,,78.33766748
880,51.95463903,-123.9240258,60,113.1985931,1163,1.9039433,7.87326622,SBPS,xc,,1039959.189,TILL ,SHEMWELL,SL,100,W,28,,-,,,,,-,,,,2009,C50418,2009-07-30,Unknown,67735.53928,PL,120,15.4,30,IBM,1985-01-01,,,,,,,,,,,,,,2035.170081
881,51.95437507,-123.9094594,60,50.19442749,1136,3.905124903,9.100813866,SBPS,xc,,1015920.802,TILL ,SHEMWELL,SL,100,W,28,,-,,,,,-,,,,2009,C50418,2009-07-30,Unknown,67735.53928,PL,90,13,50,,,,,,,,,,,,,,,,2813.591413
