"","SampleSite_ID","BEC_Zone","BEC_Subzone","BEC_Variant","SPECIES_CD_1_1","SPECIES_PCT_1_1","SPECIES_CD_2_1","SPECIES_PCT_2_1","SPECIES_CD_3_1","SPECIES_PCT_3_1","SPECIES_CD_4_1","SPECIES_PCT_4_1","PLI_percent_pre","FDI_percent_pre","SX_percent_pre","AT_percent_pre","Species_pre","Year","Dominant_pre","LeadingSpecies_pre","LeadingPercent_pre","SecondSpecies_pre","SecondPercent_pre","ThirdSpecies_pre","ThirdPercent_pre","FourthSpecies_pre","FourthPercent_pre","SpeciesAll","PLI_percent","FDI_percent","SX_percent","AT_percent","Species","LeadingSpecies","Dominant","LeadingPercent","SecondSpecies","SecondPercent","ThirdSpecies","ThirdPercent","FourthSpecies","FourthPercent"
"356","1018","IDF","xm",NA,"FDI",60,"PLI",40,"",NA,"",NA,40,60,0,0," PLI FDI",2024,"Mix","FDI",60,"PLI",40,NA,NA,NA,NA,"FDI",0,100,0,0," FDI","FDI","FDI",100,NA,NA,NA,NA,NA,NA
"357","495","SBPS","xc",NA,"PLI",100,"",NA,"",NA,"",NA,100,0,0,0," PLI",2024,"PLI","PLI",100,NA,NA,NA,NA,NA,NA,"PLI",100,0,0,0," PLI","PLI","PLI",100,NA,NA,NA,NA,NA,NA
"358","649","SBPS","xc",NA,"PLI",100,"",NA,"",NA,"",NA,100,0,0,0," PLI",2024,"PLI","PLI",100,NA,NA,NA,NA,NA,NA,"PLI",100,0,0,0," PLI","PLI","PLI",100,NA,NA,NA,NA,NA,NA
"359","982","IDF","dk",4,"FDI",75,"PLI",14,"AT",6,"SX",5,14,75,5,6," PLI FDI SX AT",2024,"Mix","FDI",75,"PLI",14,"AT",6,"SX",5,"AT, FDI",0,63,0,37," FDI AT","FDI","Mix",63,"AT",37,NA,NA,NA,NA
"360","986","IDF","xm",NA,"FDI",100,"",NA,"",NA,"",NA,0,100,0,0," FDI",2024,"FDI","FDI",100,NA,NA,NA,NA,NA,NA,"FDI",0,100,0,0," FDI","FDI","FDI",100,NA,NA,NA,NA,NA,NA
"361","1019","IDF","xm",NA,"FDI",100,"",NA,"",NA,"",NA,0,100,0,0," FDI",2024,"FDI","FDI",100,NA,NA,NA,NA,NA,NA,"FDI",0,100,0,0," FDI","FDI","FDI",100,NA,NA,NA,NA,NA,NA
"362","1106","IDF","xm",NA,"FDI",100,"",NA,"",NA,"",NA,0,100,0,0," FDI",2024,"FDI","FDI",100,NA,NA,NA,NA,NA,NA,"FDI",0,100,0,0," FDI","FDI","FDI",100,NA,NA,NA,NA,NA,NA
"363","1107","IDF","xm",NA,"FDI",100,"",NA,"",NA,"",NA,0,100,0,0," FDI",2024,"FDI","FDI",100,NA,NA,NA,NA,NA,NA,"AT, FDI",0,98,0,2," FDI AT","FDI","FDI",98,"AT",2,NA,NA,NA,NA
"364","647","IDF","dk",4,"PLI",100,"",NA,"",NA,"",NA,100,0,0,0," PLI",2024,"PLI","PLI",100,NA,NA,NA,NA,NA,NA,"FDI, PLI",98,2,0,0," PLI FDI","PLI","PLI",98,"FDI",2,NA,NA,NA,NA
"365","699","SBPS","xc",NA,"PLI",100,"",NA,"",NA,"",NA,100,0,0,0," PLI",2024,"PLI","PLI",100,NA,NA,NA,NA,NA,NA,"AT, FDI, PLI",83,9,0,9," PLI FDI AT","PLI","PLI",83,"FDI",9,"AT",9,NA,NA
"366","1396","IDF","xm",NA,"FDI",100,"",NA,"",NA,"",NA,0,100,0,0," FDI",2024,"FDI","FDI",100,NA,NA,NA,NA,NA,NA,"FDI",0,100,0,0," FDI","FDI","FDI",100,NA,NA,NA,NA,NA,NA
"367","656","IDF","dk",4,"FDI",85,"SX",9,"PLI",5,"AT",1,5,85,9,1," PLI FDI SX AT",2024,"FDI","FDI",85,"SX",9,"PLI",5,"AT",1,"AT, FDI, PLI, SX",0,99,0,1," FDI AT","FDI","FDI",99,"AT",1,NA,NA,NA,NA
"368","1326","IDF","xm",NA,"FDI",90,"SX",10,"",NA,"",NA,0,90,10,0," FDI SX",2024,"FDI","FDI",90,"SX",10,NA,NA,NA,NA,"AT",0,0,0,100," AT","AT","AT",100,NA,NA,NA,NA,NA,NA
"369","1393","IDF","xm",NA,"AT",90,"SX",10,"",NA,"",NA,0,0,10,90," SX AT",2024,"AT","AT",90,"SX",10,NA,NA,NA,NA,"AT",0,0,0,100," AT","AT","AT",100,NA,NA,NA,NA,NA,NA
