"","Card","measured"
"752",883,0
"753",884,0
"754",919,0
"755",920,0
"756",921,0
"757",923,0
"758",961,0
"759",996,0
"760",997,0
"761",998,0
"762",1029,0
"763",1056,0
"764",1087,0
"765",1088,0
"766",1123,0
"767",1124,0
"768",742,0
"769",789,0
"770",838,0
"771",887,0
"772",924,0
"773",925,0
"774",926,0
"775",963,0
"776",964,0
"777",1002,0
"778",1006,0
"779",1032,0
"780",1034,0
"781",1059,0
"782",1063,0
"783",1065,0
"784",1093,0
"785",1094,0
"786",1096,0
"787",1097,0
"788",1098,0
"789",1125,0
"790",801,1
"791",851,1
"792",852,1
"793",899,1
"794",933,1
"795",974,1
"796",1012,1
"797",1068,1
"798",1069,1
"799",1099,1
"800",1131,0
"801",1134,0
"802",1135,0
"803",756,0
"804",935,0
"805",975,0
"806",1013,0
"807",1070,0
"808",758,1
"809",805,0
"810",806,1
"811",808,1
"812",857,1
"813",859,1
"814",860,1
"815",900,1
"816",901,0
"817",902,0
"818",937,0
"819",938,0
"820",939,1
"821",977,0
"822",979,0
"823",981,1
"824",1015,0
"825",1071,0
"826",1101,0
"827",1102,0
"828",1105,0
"829",1139,1
"830",761,1
"831",810,1
"832",811,0
"833",812,1
"834",814,1
"835",864,0
"836",865,1
"837",903,1
"838",941,0
"839",943,0
"840",944,0
"841",982,0
"842",983,0
"843",986,0
"844",1018,0
"845",1019,0
"846",1045,1
"847",1046,0
"848",1073,0
"849",1075,1
"850",1076,0
"851",1078,0
"852",1106,0
"853",1107,0
"854",1108,1
"855",1109,1
"856",1110,1
"857",1142,1
"858",766,1
"859",815,1
"860",816,0
"861",817,0
"862",907,1
"863",949,1
"864",988,1
"865",1022,1
"866",1024,1
"867",1049,1
"868",1050,1
"869",1052,1
"870",1053,1
"871",1080,1
"872",1111,1
"873",1113,1
"874",1114,1
"875",1115,1
"876",1144,1
"877",1145,1
"878",1148,1
"879",476,0
"880",477,0
"881",516,0
"882",517,0
"883",555,0
"884",556,0
"885",593,0
"886",633,0
"887",638,0
"888",683,0
"889",684,0
"890",686,0
"891",687,0
"892",225,0
"893",226,0
"894",265,0
"895",266,0
"896",267,0
"897",313,0
"898",357,0
"899",358,1
"900",406,0
"901",407,1
"902",408,1
"903",453,0
"904",454,1
"905",456,1
"906",495,0
"907",496,0
"908",531,0
"909",604,0
"910",605,0
"911",647,0
"912",649,0
"913",698,0
"914",699,0
"915",227,1
"916",270,1
"917",315,1
"918",360,1
"919",361,1
"920",363,0
"921",410,0
"922",497,0
"923",533,0
"924",610,0
"925",651,0
"926",703,0
"927",229,1
"928",318,1
"929",319,1
"930",413,1
"931",415,0
"932",416,0
"933",460,1
"934",499,1
"935",502,1
"936",503,1
"937",535,1
"938",536,1
"939",538,1
"940",540,1
"941",572,0
"942",574,1
"943",612,0
"944",613,0
"945",615,0
"946",652,0
"947",653,1
"948",656,0
"949",657,1
"950",706,0
"951",231,1
"952",232,1
"953",234,1
"954",273,0
"955",276,1
"956",277,0
"957",279,1
"958",320,1
"959",324,1
"960",325,0
"961",366,1
"962",367,1
"963",369,1
"964",417,1
"965",464,1
"966",505,1
"967",541,1
"968",577,1
"969",581,1
"970",618,1
"971",620,1
"972",659,1
"973",661,1
"974",662,1
"975",707,1
"976",708,1
"977",710,0
"978",711,1
"979",235,1
"980",281,1
"981",282,1
"982",284,1
"983",327,1
"984",329,1
"985",330,1
"986",331,1
"987",370,1
"988",371,1
"989",375,1
"990",419,1
"991",420,1
"992",421,1
"993",423,1
"994",424,1
"995",425,1
"996",466,1
"997",467,1
"998",506,1
"999",545,1
"1000",585,1
"1001",666,1
"1002",669,1
"1003",717,1
"1004",718,1
"1005",719,1
"1006",107,0
"1007",158,1
"1008",159,1
"1009",161,1
"1010",193,1
"1011",162,1
"1012",163,1
"1013",194,1
"1014",141,1
"1015",165,1
"1016",197,1
"1017",5,0
"1018",6,0
"1019",8,0
"1020",9,0
"1021",14,0
"1022",15,0
"1023",16,0
"1024",17,0
"1025",21,0
"1026",23,0
"1027",25,0
"1028",28,0
"1029",29,0
"1030",38,0
"1031",39,0
"1032",40,0
"1033",42,0
"1034",43,0
"1035",44,0
"1036",45,0
"1037",54,0
"1038",55,0
"1039",56,0
"1040",58,0
"1041",59,0
"1042",65,0
"1043",70,0
"1044",72,0
"1045",78,0
"1046",79,0
"1047",88,0
"1048",97,0
"1049",30,0
"1050",32,0
"1051",33,0
"1052",34,0
"1053",46,0
"1054",47,0
"1055",48,0
"1056",62,0
"1057",73,0
"1058",74,0
"1059",99,0
"1060",106,0
"1061",13,1
"1062",20,1
"1063",-1291634974,1
"1064",-1291634974,1
"1065",-1291634974,1
"1066",-1291634974,1
"1067",-1291634974,1
"1068",-1291634974,1
"1069",-1291634974,1
"1070",0,1
"1071",0,1
"1072",0,1
"1073",0,1
"1074",0,1
"1075",0,1
"1076",3,1
"1077",469,1
"1078",469,1
"1079",469,1
"1080",469,1
"1081",844,1
"1082",844,1
"1083",844,1
"1084",844,1
"1085",845,1
"1086",845,1
"1087",845,1
"1088",845,1
"1089",846,1
"1090",846,1
"1091",846,1
"1092",846,1
"1093",847,1
"1094",847,1
"1095",847,1
"1096",847,1
"1097",847,1
"1098",892,1
"1099",892,1
"1100",892,1
"1101",892,1
"1102",893,1
"1103",893,1
"1104",893,1
"1105",893,1
"1106",894,1
"1107",894,1
"1108",894,1
"1109",894,1
"1110",895,1
"1111",895,1
"1112",895,1
"1113",895,1
"1114",895,1
"1115",895,1
"1116",895,1
"1117",895,1
"1118",11111,1
"1119",11111,1
