"","SampleSite_ID","Latitude","Longitude","MapPageID","Aspect","Elevation","Slope","TWI","Zone","Subzone","Variant","Solar_Radiation","PARENT_SOILS","SOILNAME_1","TEXTURE_1","PERCENT_1","DRAIN_1","COFRAG_1","SOILNAME_2","TEXTURE_2","PERCENT_2","DRAIN_2","COFRAG_2","SOILNAME_3","TEXTURE_3","PERCENT_3","DRAIN_3","COFRAG_3","Fire_Year_1","Fire_Number_1","Fire_Date_1","Fire_Severity_1","Severity_Patch_Size_1","Species_1","Age_1","Height_1","Crown_Closure_1","Disturbance_Type_1","Disturbance_Date_1","Harvest_Date_1","Fire_Year_2","Fire_Number_2","Fire_Date_2","Fire_Severity_2","Severity_Patch_Size_2","Species_2","Age_2","Height_2","Crown_Closure_2","Disturbance_Type_2","Disturbance_Date_2","Harvest_Date_2","Distance_to_Perimeter","Card","Beers_aspect","Azimuth"
"49",141,51.7726818,-123.0032771,85,265.6012878,1194,3.259601116,7.335588455,"IDF","dk",4,1040816.994,"TILL ","TYEE","SL",100,"MW",20,"","-",NA,"",NA,"","-",NA,"",NA,2017,"C50647","2017-07-07","Medium",0.827365609,"PLI",67,12.3,20,"IBM","2003-08-01","",NA,"","","",NA,"",NA,NA,NA,"","",NA,87.49963316,141,1.40445689285317,"W"
"50",158,51.79657782,-123.6409848,82,263.6598206,1194,4.527692795,9.779569626,"IDF","dk",4,1040817.696,"TILL ","SHEMWELL","SL",100,"W",28,"","-",NA,"",NA,"","-",NA,"",NA,2009,"C50418","2009-07-30","Unknown",67735.53928,"PLI",109,14.5,50,"IBM","1985-01-01","",NA,"","","",NA,"",NA,NA,NA,"","",NA,1477.932235,158,1.70593369932254,"W"
"51",159,51.79627798,-123.6264729,82,192.6001587,1283,21.77441216,6.129604816,"IDF","dk",4,1157234.477,"TILL ","TYEE","SL",60,"MW",NA,"TYEE","SIL",40,"MW",15,"","-",NA,"",NA,2009,"C50418","2009-07-30","Unknown",67735.53928,"FDI",186,21.4,60,"","","",NA,"","","",NA,"",NA,NA,NA,"","",NA,896.6469016,159,0.0828446427105521,"S"
"52",161,51.78853027,-123.2782482,83,74.74488068,1198,2.850438595,14.85990143,"SBPS","xc",NA,1034011.983,"TILL ","SHEMWELL","SL",100,"W",28,"","-",NA,"",NA,"","-",NA,"",NA,2017,"C50647","2017-07-07","Low",13.36368721,"PLI",94,12.9,32,"IBM","2003-08-01","",NA,"","","",NA,"",NA,NA,NA,"","",NA,46.18086219,161,1.35635123606335,"E"
"53",162,51.78818448,-123.2637416,84,356.6335449,1198,4.25734663,9.371132851,"SBPS","xc",NA,1013213.915,"TILL ","SHEMWELL","SL",100,"W",28,"","-",NA,"",NA,"","-",NA,"",NA,2017,"C50647","2017-07-07","Unburned",493.8347522,"PLI",149,17.4,40,"","","",NA,"","","",NA,"",NA,NA,NA,"","",NA,0,162,0.529096412503012,"N"
"54",163,51.78642796,-123.1912119,84,212.4711914,1144,3.259601116,7.335588455,"IDF","dk",4,1048146.297,"TILL ","SHEMWELL","SL",100,"W",28,"","-",NA,"",NA,"","-",NA,"",NA,2017,"C50647","2017-07-07","Medium",224.0529771,"PLI",108,14.9,20,"IBM","2003-08-01","",NA,"","","",NA,"",NA,NA,NA,"","",NA,216.8294053,163,0.86104490576338,"S"
"55",165,51.78164609,-123.0026629,85,343.6104736,1166,4.430011272,8.127403259,"IDF","dk",4,1008922.434,"TILL ","TYEE","SL",100,"MW",20,"","-",NA,"",NA,"","-",NA,"",NA,2017,"C50647","2017-07-07","Low",323.9262301,"PLI",67,12.3,20,"IBM","2003-08-01","",NA,"","","",NA,"",NA,NA,NA,"","",NA,97.79729127,165,0.188324180502348,"N"
"56",193,51.80052588,-123.4082865,83,321.3401794,1188,3.201562166,10.34928703,"SBPS","xc",NA,1022968.169,"TILL ","SHEMWELL","SL",100,"W",28,"","-",NA,"",NA,"","-",NA,"",NA,2017,"C50647","2017-07-07","Low",2.849780968,"PLI",91,13.3,39,"IBM","2003-08-01","",NA,"","","",NA,"",NA,NA,NA,"","",NA,6.610826328,193,1.94119874494654,"N"
"57",194,51.79714998,-123.2631805,84,130.6012878,1158,9.219544411,6.29586792,"IDF","dk",4,1065756.892,"TILL ","SHEMWELL","SL",100,"W",28,"","-",NA,"",NA,"","-",NA,"",NA,2017,"C50647","2017-07-07","Low",640.3959118,"FDI",23,3.7,20,"","","",NA,"","","",NA,"",NA,NA,NA,"","",NA,225.5935853,194,0.677943615230812,"E"
"58",197,51.79061031,-123.0020484,85,233.7461548,1172,4.650269032,8.07888031,"IDF","dk",4,1051823.703,"TILL ","TYEE","SL",100,"MW",20,"","-",NA,"",NA,"","-",NA,"",NA,2017,"C50647","2017-07-07","Low",323.9262301,"PLI",68,13.3,21,"IBM","2003-08-01","",NA,"","","",NA,"",NA,NA,NA,"","",NA,267.7828561,197,1.75495885177498,"W"
"59",225,51.81451205,-123.6400169,72,117.6459732,1185,5.926634789,9.682175636,"IDF","dk",4,1052194.697,"TILL ","SHEMWELL","SL",100,"W",28,"","-",NA,"",NA,"","-",NA,"",NA,2009,"C50418","2009-07-30","Unknown",67735.53928,"",NA,NA,NA,"IBM","1985-01-01","",NA,"","","",NA,"",NA,NA,NA,"","",NA,2802.598376,225,0.342990713758243,"E"
"60",226,51.81421209,-123.625499,72,6.581944466,1172,13.08625221,7.331925392,"IDF","dk",4,948409.3201,"TILL ","SHEMWELL","SL",100,"W",28,"","-",NA,"",NA,"","-",NA,"",NA,2009,"C50418","2009-07-30","Unknown",67735.53928,"AT",79,21,50,"IBM","1985-01-01","",NA,"","","",NA,"",NA,NA,NA,"","",NA,2057.651996,226,1.96783099644449,"N"
"61",227,51.81046909,-123.4512999,73,341.5650635,1188,0.790569425,11.39125252,"SBPS","xc",NA,1034478.763,"TILL ","SHEMWELL","SL",100,"W",28,"","-",NA,"",NA,"","-",NA,"",NA,2017,"C50647","2017-07-07","Unburned",363.378799,"PLI",92,13.4,47,"IBM","2003-08-01","",NA,"","","",NA,"",NA,NA,NA,"","",NA,0,227,0.851385458334739,"N"
"62",229,51.80680543,-123.2916445,74,1.63657701,1150,8.753570557,11.35836697,"SBPS","xc",NA,976287.5741,"GLACIOFLUVIAL ","SHEMWELL","SL",100,"W",28,"","-",NA,"",NA,"","-",NA,"",NA,2017,"C50647","2017-07-07","Low",640.3959118,"Spruce",117,19.3,67,"IBM","2003-08-01","",NA,"","","",NA,"",NA,NA,NA,"","",NA,58.67618682,229,1.46825318152611,"N"
"63",231,51.8050666,-123.2190828,75,277.1250305,1142,16.12451553,5.736852646,"IDF","dk",4,1008579.117,"TILL ","SHEMWELL","SL",100,"W",28,"","-",NA,"",NA,"","-",NA,"",NA,2017,"C50647","2017-07-07","Low",3099.075366,"PLI",84,13.5,18,"IBM","2003-08-01","",NA,"","","",NA,"",NA,NA,NA,"","",NA,11.96212,231,1.99375872685168,"W"
"64",232,51.80471332,-123.2045712,75,152.3540192,1157,5.926634789,6.737736702,"IDF","dk",4,1064213.768,"TILL ","SHEMWELL","SL",100,"W",28,"","-",NA,"",NA,"","-",NA,"",NA,2017,"C50647","2017-07-07","Medium",119.230835,"PLI",74,12.5,28,"IBM","2003-08-01","",NA,"","","",NA,"",NA,NA,NA,"","",NA,210.0099041,232,1.53652849830178,"S"
"65",234,51.80364245,-123.1610377,75,49.39870453,1107,4.609772205,7.682162285,"IDF","dk",4,1008306.652,"TILL ","SHEMWELL","SL",100,"W",28,"","-",NA,"",NA,"","-",NA,"",NA,2017,"C50647","2017-07-07","Medium",1408.253098,"PLI",65,11.8,12,"IBM","2003-08-01","",NA,"","","",NA,"",NA,NA,NA,"","",NA,330.9665344,234,1.15035260484816,"E"
"66",235,51.8014511,-123.0739772,76,34.38034439,1191,5.755432129,6.767049313,"IDF","dk",4,1008413.541,"TILL ","TYEE","SL",100,"MW",20,"","-",NA,"",NA,"","-",NA,"",NA,2017,"C50647","2017-07-07","High",20.40826416,"PLI",73,12.4,26,"IBM","2003-08-01","",NA,"","","",NA,"",NA,NA,NA,"","",NA,260.2996588,235,0.255004529947067,"N"
