"","Card","SpeciesAll","total_count","total_tph","total_x0","total_x10","total_x30","total_x130","FDI_count","FDI_tph","FDI_x0","FDI_x10","FDI_x30","FDI_x130","PLI_count","PLI_tph","PLI_x0","PLI_x10","PLI_x30","PLI_x130","NonCon_count","NonCon_x0","NonCon_x10","NonCon_x30","NonCon_x130","SX_count","SX_x0","SX_x10","SX_x30","SX_x130"
"56",454,"FDI, PLI",175,35000,14,13,86,62,12,2400,11,0,1,0,163,32600,3,13,85,62,0,0,0,0,0,0,0,0,0,0
"57",456,"PLI",6,1200,0,0,2,4,0,0,0,0,0,0,6,1200,0,0,2,4,0,0,0,0,0,0,0,0,0,0
"58",460,"FDI, NonCon, PLI",22,4400,0,19,2,1,20,4000,0,19,1,0,1,200,0,0,1,0,1,0,0,0,1,0,0,0,0,0
"59",464,"FDI, PLI",5,1000,2,1,2,0,3,600,2,1,0,0,2,400,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"60",466,"FDI, PLI, SX",102,20400,20,67,15,0,78,15600,19,57,2,0,22,4400,1,8,13,0,0,0,0,0,0,2,0,2,0,0
"61",467,"FDI, PLI",338,67600,28,290,20,0,332,66400,28,290,14,0,6,1200,0,0,6,0,0,0,0,0,0,0,0,0,0,0
"62",469,"PLI",19,3800,0,6,9,4,0,0,0,0,0,0,19,3800,0,6,9,4,0,0,0,0,0,0,0,0,0,0
"63",499,"NR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"64",502,"FDI",2,400,0,2,0,0,2,400,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"65",503,"FDI, NonCon",3,600,0,2,1,0,2,400,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"66",505,"FDI, NonCon, PLI",326,65200,119,203,4,0,321,64200,119,202,0,0,1,200,0,1,0,0,4,0,0,4,0,0,0,0,0,0
"67",506,"FDI, PLI, SX",90,18000,46,44,0,0,43,8600,29,14,0,0,2,400,1,1,0,0,0,0,0,0,0,45,16,29,0,0
"68",535,"PLI",3,600,0,3,0,0,0,0,0,0,0,0,3,600,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"69",536,"FDI, NonCon, PLI, SX",228,45600,80,140,3,5,223,44600,80,138,1,4,2,400,0,2,0,0,2,0,0,2,0,1,0,0,0,1
"70",538,"FDI, NonCon, PLI",96,19200,48,32,13,3,78,15600,48,30,0,0,1,200,0,1,0,0,17,0,1,13,3,0,0,0,0,0
"71",540,"NonCon, PLI",13,2600,0,5,7,1,0,0,0,0,0,0,9,1800,0,5,3,1,4,0,0,4,0,0,0,0,0,0
"72",541,"FDI, SX",7,1400,4,3,0,0,1,200,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,2,0,0
"73",545,"FDI, NonCon, PLI",17,3400,0,10,7,0,3,600,0,2,1,0,7,1400,0,7,0,0,7,0,1,6,0,0,0,0,0,0
"74",574,"NonCon, PLI",48,9600,1,5,30,12,0,0,0,0,0,0,3,600,0,0,0,3,45,1,5,30,9,0,0,0,0,0
"75",577,"FDI",529,105800,520,9,0,0,529,105800,520,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"76",581,"FDI, PLI",89,17800,10,52,27,0,62,12400,10,52,0,0,27,5400,0,0,27,0,0,0,0,0,0,0,0,0,0,0
"77",585,"FDI, NonCon, PLI",12,2400,0,11,1,0,9,1800,0,9,0,0,2,400,0,2,0,0,1,0,0,1,0,0,0,0,0,0
"78",618,"FDI, NonCon",803,160600,397,404,2,0,802,160400,397,404,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"79",620,"FDI, NonCon, PLI",61,12200,2,20,29,10,8,1600,2,6,0,0,16,3200,0,14,2,0,37,0,0,27,10,0,0,0,0,0
"80",653,"FDI, PLI",199,39800,61,129,8,1,190,38000,56,128,5,1,9,1800,5,1,3,0,0,0,0,0,0,0,0,0,0,0
"81",657,"FDI, PLI",916,183200,876,40,0,0,914,182800,876,38,0,0,2,400,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"82",659,"FDI, NonCon",21,4200,1,16,4,0,20,4000,1,16,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"83",661,"FDI, PLI",39,7800,12,26,1,0,38,7600,12,26,0,0,1,200,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"84",662,"FDI",68,13600,42,26,0,0,68,13600,42,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"85",666,"FDI",335,67000,28,307,0,0,335,67000,28,307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"86",669,"FDI",13,2600,11,2,0,0,13,2600,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"87",707,"FDI",51,10200,13,36,2,0,51,10200,13,36,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"88",708,"FDI, NonCon",11,2200,0,3,7,1,6,1200,0,3,3,0,0,0,0,0,0,0,5,0,0,4,1,0,0,0,0,0
"89",711,"FDI, NonCon",473,94600,153,314,4,2,466,93200,153,313,0,0,0,0,0,0,0,0,7,0,1,4,2,0,0,0,0,0
"90",717,"FDI, NonCon",78,15600,39,26,8,5,61,12200,39,22,0,0,0,0,0,0,0,0,17,0,4,8,5,0,0,0,0,0
"91",718,"NonCon, PLI",16,3200,0,6,10,0,0,0,0,0,0,0,4,800,0,2,2,0,12,0,4,8,0,0,0,0,0,0
"92",719,"FDI, NonCon",3,600,0,1,2,0,2,400,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"93",758,"NR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"94",761,"FDI, PLI",354,70800,180,171,3,0,353,70600,180,170,3,0,1,200,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"95",766,"NR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"96",801,"FDI, PLI",155,31000,129,7,13,6,138,27600,129,7,1,1,17,3400,0,0,12,5,0,0,0,0,0,0,0,0,0,0
"97",806,"FDI",712,142400,538,173,1,0,712,142400,538,173,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"98",808,"FDI, PLI",115,23000,108,6,1,0,110,22000,107,3,0,0,5,1000,1,3,1,0,0,0,0,0,0,0,0,0,0,0
"99",810,"FDI, NonCon, PLI",80,16000,38,28,6,8,53,10600,36,16,1,0,14,2800,2,12,0,0,13,0,0,5,8,0,0,0,0,0
"100",812,"FDI, NonCon, PLI, SX",32,6400,4,2,15,11,2,400,2,0,0,0,1,200,1,0,0,0,27,0,2,14,11,2,1,0,1,0
"101",814,"FDI, NonCon",89,17800,52,7,10,20,54,10800,50,1,0,3,0,0,0,0,0,0,35,2,6,10,17,0,0,0,0,0
"102",815,"FDI",65,13000,65,0,0,0,65,13000,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"103",844,"PLI",88,17600,0,8,47,33,0,0,0,0,0,0,88,17600,0,8,47,33,0,0,0,0,0,0,0,0,0,0
"104",845,"PLI",314,62800,0,27,235,52,0,0,0,0,0,0,314,62800,0,27,235,52,0,0,0,0,0,0,0,0,0,0
"105",846,"PLI",180,36000,0,38,142,0,0,0,0,0,0,0,180,36000,0,38,142,0,0,0,0,0,0,0,0,0,0,0
"106",847,"FDI, PLI",80,16000,1,40,34,5,1,200,1,0,0,0,79,15800,0,40,34,5,0,0,0,0,0,0,0,0,0,0
"107",851,"PLI",149,29800,8,34,99,8,0,0,0,0,0,0,149,29800,8,34,99,8,0,0,0,0,0,0,0,0,0,0
"108",852,"PLI",85,17000,0,6,57,22,0,0,0,0,0,0,85,17000,0,6,57,22,0,0,0,0,0,0,0,0,0,0
"109",857,"FDI",143,28600,31,91,21,0,143,28600,31,91,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"110",859,"FDI, NonCon, SX",168,33600,39,8,45,76,26,5200,19,7,0,0,0,0,0,0,0,0,121,0,0,45,76,21,20,1,0,0
"111",860,"FDI, NonCon, PLI, SX",10,2000,0,2,3,5,1,200,0,0,1,0,2,400,0,1,1,0,6,0,0,1,5,1,0,1,0,0
"112",865,"NR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
