"","ID1","ID2","Year","MAT","MWMT","MAP","NFFD","PAS","AHM","SHM","Tave_sp","Tave_sm","Tmax_sp","Tmax_sm","Tmin_sp","Tmin_sm","NFFD_sp","PAS_sp","PAS_wt","PPT_sm"
"154",892,2009,5,3.4,15.1,365,148,170,36.7,106.3,2.9,13.6,9.6,21.7,-3.7,5.5,26,37,111,76
"155",893,2009,5,3.4,15.1,365,149,170,36.7,106,2.9,13.6,9.6,21.7,-3.7,5.5,26,37,111,76
"156",894,2009,5,3.4,15.2,356,149,162,37.8,107.6,3,13.7,9.7,21.9,-3.7,5.6,26,35,106,75
"157",895,2009,5,3.6,15.4,342,151,154,39.9,113,3.2,14,10,22.2,-3.5,5.7,27,32,102,74
"158",899,2009,5,3.5,15.3,367,150,169,36.8,106.1,3.1,13.8,9.8,21.9,-3.6,5.6,26,35,110,78
"159",933,2009,5,3.6,15.4,354,150,161,38.3,108.7,3.2,13.9,9.9,22.1,-3.6,5.7,26,34,106,77
"160",974,2009,5,3.5,15.4,354,150,161,38.3,108.5,3.2,13.9,9.9,22.1,-3.6,5.7,26,33,106,77
"161",1012,2009,5,3.5,15.5,345,150,156,39.3,111.1,3.2,14,9.9,22.2,-3.6,5.7,26,32,103,76
"162",1068,2009,5,3.5,15.4,355,148,162,37.9,107.6,3.1,13.9,9.9,22.2,-3.7,5.6,26,33,107,78
"163",1069,2009,5,3.5,15.5,362,149,167,37.2,106.7,3.1,13.9,9.9,22.2,-3.7,5.6,26,34,110,78
"164",1160,2009,5,3.3,15.3,340,146,155,39.1,109.5,2.8,13.7,9.7,22.1,-4,5.4,25,32,102,75
"165",1200,2009,5,3.4,15.4,339,146,154,39.4,110.5,2.9,13.9,9.8,22.3,-4,5.4,25,31,102,75
"166",1235,2009,5,3.4,15.5,337,147,153,39.8,111.7,3,14,10,22.5,-3.9,5.5,25,30,102,75
"167",1272,2009,5,3.4,15.6,337,146,153,39.8,112.2,3,14,10,22.5,-3.9,5.5,25,30,103,74
"168",1273,2009,5,3.4,15.6,338,146,154,39.7,112,3,14,10,22.5,-3.9,5.5,25,30,103,74
"169",1276,2009,5,3.4,15.6,334,146,150,40.1,110.6,3,14,10,22.5,-3.9,5.5,25,29,101,76
"170",1319,2009,5,3.4,15.6,337,146,153,39.8,111.6,3.1,14.1,10.1,22.6,-3.9,5.5,25,30,103,75
"171",1320,2009,5,3.4,15.6,336,146,152,39.9,111.2,3.1,14.1,10.1,22.6,-4,5.5,25,30,102,76
"172",1321,2009,5,3.4,15.6,335,145,151,39.9,110.4,3,14,10,22.5,-4,5.5,25,29,101,76
"173",1322,2009,5,3.4,15.5,334,145,150,40,110.2,3,14,10,22.5,-4,5.5,25,29,100,76
"174",1356,2009,5,3.4,15.6,334,145,151,40.1,110.7,3,14,10.1,22.6,-4,5.5,25,29,101,76
"175",1421,2009,5,4,16.5,361,161,146,38.6,99.8,3.6,14.9,10.2,22.9,-3,6.8,31,26,96,93
"176",13,2009,0,1.8,11.4,574,121,286,20.5,57.4,1.4,10.4,7.5,17.2,-4.6,3.6,15,54,140,135
"177",20,2009,0,1.6,11.3,587,120,298,19.9,56.2,1.3,10.3,7.3,17,-4.7,3.6,15,57,145,137
"178",158,2009,0,2.7,12.9,383,129,138,33.1,70.1,2.8,11.9,9.5,19.4,-3.9,4.3,19,25,72,125
"179",159,2009,0,2.4,12.5,395,127,152,31.3,67.2,2.3,11.4,8.8,18.7,-4.2,4.1,18,29,76,126
"180",408,2009,0,2.7,13,382,129,134,33.3,69.1,2.9,12,9.8,19.6,-4,4.3,19,23,70,129
"181",454,2009,0,2.7,13.1,377,129,133,33.7,70.2,3,12.1,9.8,19.7,-3.9,4.4,19,23,69,127
"182",801,2009,0,2.9,13.5,345,131,115,37.3,75.9,3.2,12.4,10.3,20.3,-3.8,4.6,20,19,60,121
"183",844,2009,0,2.8,13.4,352,131,118,36.4,74.2,3.2,12.4,10.2,20.2,-3.9,4.6,20,20,61,123
"184",845,2009,0,2.8,13.4,352,130,118,36.3,73.6,3.1,12.3,10.2,20.2,-3.9,4.5,20,20,61,123
"185",846,2009,0,2.8,13.4,347,131,115,37,74.8,3.2,12.4,10.2,20.3,-3.9,4.6,20,20,59,122
"186",847,2009,0,2.8,13.5,339,131,111,38,76.5,3.2,12.5,10.3,20.3,-3.8,4.6,20,18,58,120
"187",851,2009,0,2.9,13.5,352,131,118,36.6,75,3.3,12.5,10.3,20.3,-3.8,4.6,20,19,62,123
"188",852,2009,0,2.9,13.5,358,131,120,35.9,73.5,3.2,12.5,10.3,20.3,-3.8,4.6,20,19,63,125
"189",892,2009,0,2.8,13.4,349,130,116,36.6,74.2,3.1,12.4,10.2,20.2,-3.9,4.5,20,20,60,123
"190",893,2009,0,2.8,13.4,349,130,116,36.7,74.3,3.1,12.4,10.2,20.2,-3.9,4.5,20,20,60,123
"191",894,2009,0,2.8,13.5,340,131,111,37.7,75.7,3.2,12.5,10.3,20.3,-3.9,4.6,20,19,57,121
"192",895,2009,0,3,13.7,329,132,104,39.6,79.4,3.5,12.7,10.6,20.7,-3.7,4.7,21,16,56,118
"193",899,2009,0,2.9,13.6,349,131,116,36.9,75.6,3.3,12.5,10.4,20.4,-3.8,4.6,20,18,61,123
"194",933,2009,0,3,13.7,339,132,110,38.2,77.1,3.4,12.7,10.5,20.6,-3.7,4.7,21,17,59,121
"195",974,2009,0,2.9,13.7,338,132,109,38.3,77,3.4,12.7,10.5,20.6,-3.8,4.7,21,17,58,122
"196",1012,2009,0,2.9,13.7,332,131,106,39,78.1,3.4,12.7,10.6,20.7,-3.8,4.7,21,16,57,120
"197",1068,2009,0,2.9,13.7,340,130,110,37.9,76.1,3.3,12.7,10.6,20.7,-3.9,4.6,20,17,58,123
"198",1069,2009,0,2.9,13.7,345,130,113,37.3,75.7,3.4,12.7,10.6,20.7,-3.9,4.7,20,18,60,123
"199",1160,2009,0,2.7,13.4,333,127,106,38.1,73.9,3.1,12.4,10.3,20.4,-4.2,4.4,19,18,53,124
"200",1200,2009,0,2.7,13.5,332,127,104,38.4,74.6,3.2,12.5,10.5,20.6,-4.1,4.4,19,17,53,124
"201",1235,2009,0,2.8,13.6,329,128,102,38.9,75.6,3.3,12.6,10.6,20.7,-4.1,4.5,20,16,53,123
"202",1272,2009,0,2.8,13.7,329,128,103,38.9,75.9,3.3,12.6,10.6,20.8,-4.1,4.5,19,16,53,123
"203",1273,2009,0,2.8,13.7,328,128,103,38.9,76,3.3,12.6,10.6,20.8,-4.1,4.5,19,16,53,123
"204",1276,2009,0,2.8,13.7,326,128,101,39.2,75.9,3.3,12.7,10.7,20.8,-4.1,4.5,19,15,52,123
"205",1319,2009,0,2.8,13.7,328,127,101,39.1,76,3.3,12.7,10.7,20.9,-4.1,4.5,19,16,53,124
"206",1320,2009,0,2.8,13.7,327,127,101,39.1,76,3.3,12.7,10.8,20.9,-4.1,4.5,19,16,52,124
"207",1321,2009,0,2.8,13.7,327,127,101,39.1,75.6,3.3,12.6,10.7,20.8,-4.1,4.5,19,15,52,124
"208",1322,2009,0,2.8,13.7,326,127,101,39.2,75.8,3.3,12.6,10.7,20.8,-4.1,4.4,19,15,52,123
"209",1356,2009,0,2.8,13.7,325,127,100,39.3,76.1,3.3,12.7,10.8,20.9,-4.1,4.5,19,15,52,123
"210",1421,2009,0,3.4,14.6,348,143,99,38.6,74.6,4,13.6,11.1,21.4,-3,5.8,26,12,56,136
"211",814,2010,1,2,12.7,484,133,185,24.8,45.3,1.5,11.7,7.9,18.2,-4.8,5.1,18,35,103,166
"212",1099,2010,1,2.5,12.9,441,134,178,28.3,54.8,2,11.7,8.5,18.8,-4.5,4.6,19,34,100,127
"213",1207,2010,1,2.7,13.2,446,136,178,28.4,55.4,2.3,12,8.8,19.2,-4.3,4.8,20,32,102,131
"214",1247,2010,1,2.7,13.3,450,137,179,28.2,55,2.4,12.1,8.8,19.2,-4.1,4.9,21,32,103,135
