OBJECTID,Card,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,MEDIAN,PCT90
202,1099,3,2700,-0.112801716,-0.033263214,0.079538502,-0.059809592,0.037471113,-0.179428775,-0.033363845,-0.03328334
203,1207,3,2700,0.25859639,0.387735426,0.129139036,0.343792299,0.060252616,1.031376898,0.385045081,0.387197357
204,1209,3,2700,0.203020155,0.20917055,0.006150395,0.206592699,0.00260754,0.619778097,0.207587391,0.208853918
205,1247,3,2700,0.158977553,0.291035026,0.132057473,0.217610429,0.054917455,0.652831286,0.202818707,0.273391762
206,1362,4,3600,0.538642943,0.722837508,0.184194565,0.644567192,0.069712026,2.578268766,0.658394158,0.712277919
207,158,3,2700,0.277187824,0.434923202,0.157735378,0.344252199,0.066523515,1.032756597,0.320645571,0.412067676
208,159,4,3600,0.052257821,0.093370736,0.041112915,0.067352677,0.015533588,0.269410707,0.061891075,0.084106481
209,358,3,2700,0.115928337,0.140314355,0.024386019,0.127404556,0.010007026,0.382213667,0.125970975,0.137445679
210,407,3,2700,0.097947843,0.162181422,0.064233579,0.129707056,0.026228124,0.389121167,0.128991902,0.155543518
211,408,2,1800,0.032466728,0.129296079,0.096829351,0.080881404,0.048414676,0.161762808,0.080881404,0.119613144
212,454,3,2700,0.424177498,0.478209406,0.054031909,0.443524698,0.02458036,1.330574095,0.428187191,0.468204963
213,801,2,1800,0.394210011,0.398948997,0.004738986,0.396579504,0.002369493,0.793159008,0.396579504,0.398475099
214,844,3,2700,0.559404969,0.70263046,0.143225491,0.637711306,0.059232862,1.913133919,0.65109849,0.692324066
215,845,4,3600,0.588698745,0.652815878,0.064117134,0.62661168,0.024460904,2.506446719,0.632466048,0.649716514
216,846,4,3600,0.338073015,0.406867236,0.068794221,0.372032315,0.033951592,1.488129258,0.371594504,0.406333745
217,847,3,2700,0.210911393,0.268717736,0.057806343,0.233364388,0.025300957,0.700093165,0.220464036,0.259066996
218,851,3,2700,0.282596439,0.347398669,0.064802229,0.306297133,0.029176751,0.9188914,0.288896292,0.335698193
219,852,4,3600,0.293870658,0.338670075,0.044799417,0.314783171,0.016982177,1.259132683,0.313295975,0.333578885
220,892,3,2700,0.487828225,0.522668242,0.034840018,0.499441564,0.016423742,1.498324692,0.487828225,0.515700239
221,893,2,1800,0.571501195,0.614654183,0.043152988,0.593077689,0.021576494,1.186155379,0.593077689,0.610338885
222,894,3,2700,0.450064749,0.470083445,0.020018697,0.459647268,0.00819486,1.378941804,0.45879361,0.467825478
223,895,3,2700,0.294905305,0.375843048,0.080937743,0.337904702,0.033235927,1.013714105,0.342965752,0.369267589
224,899,2,1800,0.414676458,0.449775934,0.035099477,0.432226196,0.017549738,0.864452392,0.432226196,0.446265987
225,933,2,1800,0.34111324,0.366262019,0.025148779,0.353687629,0.01257439,0.707375258,0.353687629,0.363747141
226,974,2,1800,0.208226547,0.322474658,0.114248112,0.265350603,0.057124056,0.530701205,0.265350603,0.311049847
227,1012,3,2700,0.507679224,0.586854398,0.079175174,0.538658281,0.034539807,1.615974844,0.521441221,0.573771763
228,1068,2,1800,0.639370859,0.676207423,0.036836565,0.657789141,0.018418282,1.315578282,0.657789141,0.672523767
229,1069,3,2700,0.581336439,0.638840318,0.057503879,0.608878275,0.023538155,1.826634824,0.606458068,0.632363868
230,1160,4,3600,0.344576031,0.435412407,0.090836376,0.407596909,0.037283606,1.630387634,0.425199598,0.435312548
231,1200,3,2700,0.44309628,0.492574275,0.049477994,0.469729364,0.020376141,1.409188092,0.473517537,0.488762927
232,1235,4,3600,0.145718172,0.227309927,0.081591755,0.182570431,0.033576096,0.730281726,0.178626813,0.219799854
233,1272,3,2700,0.430554926,0.462755919,0.032200992,0.447268258,0.013174538,1.341804773,0.448493928,0.45990352
234,1273,2,1800,0.435987234,0.449311078,0.013323843,0.442649156,0.006661922,0.885298312,0.442649156,0.447978693
235,1276,3,2700,0.132712767,0.17503792,0.042325154,0.155913229,0.017517869,0.467739686,0.159988999,0.172028136
236,1319,2,1800,0.029511813,0.057162039,0.027650226,0.043336926,0.013825113,0.086673852,0.043336926,0.054397016
