"","X","SampleSite_ID","BEC_Zone","BEC_Subzone","BEC_Variant","SPECIES_CD_1_1","SPECIES_PCT_1_1","SPECIES_CD_2_1","SPECIES_PCT_2_1","SPECIES_CD_3_1","SPECIES_PCT_3_1","SPECIES_CD_4_1","SPECIES_PCT_4_1","PLI_percent_pre","FDI_percent_pre","SX_percent_pre","AT_percent_pre","Species_pre","Year","Dominant_pre","LeadingSpecies_pre","LeadingPercent_pre","SecondSpecies_pre","SecondPercent_pre","ThirdSpecies_pre","ThirdPercent_pre","FourthSpecies_pre","FourthPercent_pre","SpeciesAll","PLI_percent","FDI_percent","SX_percent","AT_percent","Species","Dominant","LeadingSpecies","LeadingPercent","SecondSpecies","SecondPercent","ThirdSpecies","ThirdPercent","FourthSpecies","FourthPercent","Trans"
"37",37,"420","IDF","dk",4,"PLI",50,"FDI",32,"SX",14,"AT",4,50,32,14,4," PLI FDI SX AT",2023,"Mix","PLI",50,"FDI",32,"SX",14,"AT",4,"PLI, SX",99,0,1,0," PLI SX","PLI","PLI",99,"SX",1,NA,NA,NA,NA,"shift"
"38",38,"421","IDF","dk",4,"FDI",60,"PLI",34,"AT",5,"SX",1,34,60,1,5," PLI FDI SX AT",2023,"Mix","FDI",60,"PLI",34,"AT",5,"SX",1,"FDI, PLI",94,6,0,0," PLI FDI","PLI","PLI",94,"FDI",6,NA,NA,NA,NA,"shift"
"39",39,"423","IDF","dk",4,"FDI",75,"PLI",22,"SX",2,"AT",1,22,75,2,1," PLI FDI SX AT",2023,"Mix","FDI",75,"PLI",22,"SX",2,"AT",1,"AT, FDI",0,91,0,9," FDI AT","FDI","FDI",91,"AT",9,NA,NA,NA,NA,"shift"
"40",40,"424","IDF","xm",NA,"AT",80,"PLI",20,"",NA,"",NA,20,0,0,80," PLI AT",2023,"AT","AT",80,"PLI",20,NA,NA,NA,NA,"AT",0,0,0,100," AT","AT","AT",100,NA,NA,NA,NA,NA,NA,"static"
"41",41,"425","IDF","xm",NA,"FDI",90,"SX",5,"AT",5,"",NA,0,90,5,5," FDI SX AT",2023,"FDI","FDI",90,"AT",5,"SX",5,NA,NA,"NR",0,0,0,0,"NR","NR","NR",NA,NA,NA,NA,NA,NA,NA,"shift"
"42",42,"454","SBPS","xc",NA,"PLI",100,"",NA,"",NA,"",NA,100,0,0,0," PLI",2023,"PLI","PLI",100,NA,NA,NA,NA,NA,NA,"FDI, PLI",99,1,0,0," PLI FDI","PLI","PLI",99,"FDI",1,NA,NA,NA,NA,"static"
"43",43,"460","IDF","dk",4,"FDI",90,"SX",10,"",NA,"",NA,0,90,10,0," FDI SX",2023,"FDI","FDI",90,"SX",10,NA,NA,NA,NA,"AT, FDI, PLI",5,91,0,5," PLI FDI AT","FDI","FDI",91,"PLI",5,"AT",5,NA,NA,"static"
"44",44,"464","IDF","dk",4,"FDI",77,"PLI",15,"AT",6,"SX",2,15,77,2,6," PLI FDI SX AT",2023,"Mix","FDI",77,"PLI",15,"AT",6,"SX",2,"FDI, PLI",40,60,0,0," PLI FDI","Mix","FDI",60,"PLI",40,NA,NA,NA,NA,"static"
"45",45,"466","IDF","dk",4,"FDI",66,"PLI",28,"SX",4,"AT",2,28,66,4,2," PLI FDI SX AT",2023,"Mix","FDI",66,"PLI",28,"SX",4,"AT",2,"FDI, PLI, SX",22,76,2,0," PLI FDI SX","Mix","FDI",76,"PLI",22,"SX",2,NA,NA,"static"
"46",46,"467","IDF","dk",4,"FDI",61,"PLI",19,"SX",12,"AT",8,19,61,12,8," PLI FDI SX AT",2023,"Mix","FDI",61,"PLI",19,"SX",12,"AT",8,"FDI, PLI",2,98,0,0," PLI FDI","FDI","FDI",98,"PLI",2,NA,NA,NA,NA,"shift"
"47",47,"502","IDF","dk",4,"FDI",90,"SX",10,"",NA,"",NA,0,90,10,0," FDI SX",2023,"FDI","FDI",90,"SX",10,NA,NA,NA,NA,"FDI",0,100,0,0," FDI","FDI","FDI",100,NA,NA,NA,NA,NA,NA,"static"
"48",48,"503","IDF","dk",4,"FDI",69,"PLI",19,"SX",11,"AT",1,19,69,11,1," PLI FDI SX AT",2023,"Mix","FDI",69,"PLI",19,"SX",11,"AT",1,"AT, FDI",0,67,0,33," FDI AT","Mix","FDI",67,"AT",33,NA,NA,NA,NA,"static"
"49",49,"505","IDF","dk",4,"FDI",85,"PLI",12,"SX",3,"",NA,12,85,3,0," PLI FDI SX",2023,"FDI","FDI",85,"PLI",12,"SX",3,NA,NA,"AT, FDI, PLI",0,98,0,1," FDI AT","FDI","FDI",98,"AT",1,NA,NA,NA,NA,"static"
"50",50,"506","IDF","dk",4,"FDI",75,"PLI",18,"AT",4,"SX",3,18,75,3,4," PLI FDI SX AT",2023,"Mix","FDI",75,"PLI",18,"AT",4,"SX",3,"FDI, PLI, SX",2,48,50,0," PLI FDI SX","Mix","SX",50,"FDI",48,"PLI",2,NA,NA,"static"
"51",51,"535","SBPS","xc",NA,"PLI",96,"SX",4,"",NA,"",NA,96,0,4,0," PLI SX",2023,"PLI","PLI",96,"SX",4,NA,NA,NA,NA,"PLI",100,0,0,0," PLI","PLI","PLI",100,NA,NA,NA,NA,NA,NA,"static"
"52",52,"536","IDF","dk",4,"FDI",100,"",NA,"",NA,"",NA,0,100,0,0," FDI",2023,"FDI","FDI",100,NA,NA,NA,NA,NA,NA,"AT, FDI, PLI, SX",1,98,0,1," PLI FDI AT","FDI","FDI",98,"PLI",1,"AT",1,NA,NA,"static"
"53",53,"538","IDF","dk",4,"PLI",90,"AT",10,"",NA,"",NA,90,0,0,10," PLI AT",2023,"PLI","PLI",90,"AT",10,NA,NA,NA,NA,"AT, FDI, PLI",1,81,0,18," PLI FDI AT","FDI","FDI",81,"AT",18,"PLI",1,NA,NA,"shift"
"54",54,"541","IDF","dk",4,"SX",89,"FDI",7,"AT",4,"",NA,0,7,89,4," FDI SX AT",2023,"SX","SX",89,"FDI",7,"AT",4,NA,NA,"FDI, SX",0,14,86,0," FDI SX","SX","SX",86,"FDI",14,NA,NA,NA,NA,"static"
"55",55,"574","IDF","dk",4,"PLI",100,"",NA,"",NA,"",NA,100,0,0,0," PLI",2023,"PLI","PLI",100,NA,NA,NA,NA,NA,NA,"AT, PLI",6,0,0,94," PLI AT","AT","AT",94,"PLI",6,NA,NA,NA,NA,"shift"
"56",56,"577","IDF","dk",4,"FDI",100,"",NA,"",NA,"",NA,0,100,0,0," FDI",2023,"FDI","FDI",100,NA,NA,NA,NA,NA,NA,"FDI",0,100,0,0," FDI","FDI","FDI",100,NA,NA,NA,NA,NA,NA,"static"
"57",57,"581","IDF","dk",4,"FDI",50,"PLI",48,"SX",2,"",NA,48,50,2,0," PLI FDI SX",2023,"Mix","FDI",50,"PLI",48,"SX",2,NA,NA,"FDI, PLI",30,70,0,0," PLI FDI","Mix","FDI",70,"PLI",30,NA,NA,NA,NA,"static"
"58",58,"618","IDF","dk",4,"FDI",70,"PLI",20,"AT",10,"",NA,20,70,0,10," PLI FDI AT",2023,"Mix","FDI",70,"PLI",20,"AT",10,NA,NA,"AT, FDI",0,100,0,0," FDI","FDI","FDI",100,NA,NA,NA,NA,NA,NA,"shift"
"59",59,"620","IDF","dk",4,"FDI",57,"PLI",43,"",NA,"",NA,43,57,0,0," PLI FDI",2023,"Mix","FDI",57,"PLI",43,NA,NA,NA,NA,"AT, FDI, PLI",26,13,0,61," PLI FDI AT","Mix","AT",61,"PLI",26,"FDI",13,NA,NA,"static"
"60",60,"653","IDF","dk",4,"FDI",69,"SX",19,"AT",10,"PLI",2,2,69,19,10," PLI FDI SX AT",2023,"Mix","FDI",69,"SX",19,"AT",10,"PLI",2,"FDI, PLI",5,95,0,0," PLI FDI","FDI","FDI",95,"PLI",5,NA,NA,NA,NA,"shift"
"61",61,"657","IDF","dk",4,"FDI",100,"",NA,"",NA,"",NA,0,100,0,0," FDI",2023,"FDI","FDI",100,NA,NA,NA,NA,NA,NA,"FDI, PLI",0,100,0,0," FDI","FDI","FDI",100,NA,NA,NA,NA,NA,NA,"static"
"62",62,"659","IDF","dk",4,"FDI",62,"PLI",26,"AT",11,"SX",1,26,62,1,11," PLI FDI SX AT",2023,"Mix","FDI",62,"PLI",26,"AT",11,"SX",1,"AT, FDI",0,95,0,5," FDI AT","FDI","FDI",95,"AT",5,NA,NA,NA,NA,"shift"
"63",63,"661","IDF","dk",4,"FDI",65,"PLI",33,"AT",2,"",NA,33,65,0,2," PLI FDI AT",2023,"Mix","FDI",65,"PLI",33,"AT",2,NA,NA,"FDI, PLI",3,97,0,0," PLI FDI","FDI","FDI",97,"PLI",3,NA,NA,NA,NA,"shift"
"64",64,"662","IDF","dk",4,"FDI",97,"PLI",2,"AT",1,"",NA,2,97,0,1," PLI FDI AT",2023,"FDI","FDI",97,"PLI",2,"AT",1,NA,NA,"FDI",0,100,0,0," FDI","FDI","FDI",100,NA,NA,NA,NA,NA,NA,"static"
"65",65,"666","IDF","xm",NA,"FDI",100,"",NA,"",NA,"",NA,0,100,0,0," FDI",2023,"FDI","FDI",100,NA,NA,NA,NA,NA,NA,"FDI",0,100,0,0," FDI","FDI","FDI",100,NA,NA,NA,NA,NA,NA,"static"
"66",66,"669","IDF","xm",NA,"FDI",100,"",NA,"",NA,"",NA,0,100,0,0," FDI",2023,"FDI","FDI",100,NA,NA,NA,NA,NA,NA,"FDI",0,100,0,0," FDI","FDI","FDI",100,NA,NA,NA,NA,NA,NA,"static"
"67",67,"707","IDF","dk",4,"FDI",81,"PLI",11,"SX",6,"AT",2,11,81,6,2," PLI FDI SX AT",2023,"FDI","FDI",81,"PLI",11,"SX",6,"AT",2,"FDI",0,100,0,0," FDI","FDI","FDI",100,NA,NA,NA,NA,NA,NA,"static"
"68",68,"708","IDF","dk",4,"FDI",98,"SX",2,"",NA,"",NA,0,98,2,0," FDI SX",2023,"FDI","FDI",98,"SX",2,NA,NA,NA,NA,"AT, FDI",0,55,0,45," FDI AT","Mix","FDI",55,"AT",45,NA,NA,NA,NA,"shift"
"69",69,"711","IDF","xm",NA,"FDI",90,"PLI",10,"",NA,"",NA,10,90,0,0," PLI FDI",2023,"FDI","FDI",90,"PLI",10,NA,NA,NA,NA,"AT, FDI",0,99,0,1," FDI AT","FDI","FDI",99,"AT",1,NA,NA,NA,NA,"static"
"70",70,"717","IDF","xm",NA,"FDI",90,"AT",10,"",NA,"",NA,0,90,0,10," FDI AT",2023,"FDI","FDI",90,"AT",10,NA,NA,NA,NA,"AT, FDI",0,78,0,22," FDI AT","Mix","FDI",78,"AT",22,NA,NA,NA,NA,"shift"
"71",71,"718","IDF","xm",NA,"FDI",100,"",NA,"",NA,"",NA,0,100,0,0," FDI",2023,"FDI","FDI",100,NA,NA,NA,NA,NA,NA,"AT, PLI",25,0,0,75," PLI AT","Mix","AT",75,"PLI",25,NA,NA,NA,NA,"shift"
"72",72,"719","IDF","xm",NA,"FDI",100,"",NA,"",NA,"",NA,0,100,0,0," FDI",2023,"FDI","FDI",100,NA,NA,NA,NA,NA,NA,"AT, FDI",0,67,0,33," FDI AT","Mix","FDI",67,"AT",33,NA,NA,NA,NA,"shift"
"73",73,"758","IDF","dk",4,"PLI",100,"",NA,"",NA,"",NA,100,0,0,0," PLI",2023,"PLI","PLI",100,NA,NA,NA,NA,NA,NA,"NR",0,0,0,0,"NR","NR","NR",NA,NA,NA,NA,NA,NA,NA,"shift"
"74",74,"761","IDF","dk",4,"FDI",81,"PLI",17,"AT",2,"",NA,17,81,0,2," PLI FDI AT",2023,"FDI","FDI",81,"PLI",17,"AT",2,NA,NA,"FDI, PLI",0,100,0,0," FDI","FDI","FDI",100,NA,NA,NA,NA,NA,NA,"static"
"75",75,"766","IDF","xm",NA,"FDI",100,"",NA,"",NA,"",NA,0,100,0,0," FDI",2023,"FDI","FDI",100,NA,NA,NA,NA,NA,NA,"NR",0,0,0,0,"NR","NR","NR",NA,NA,NA,NA,NA,NA,NA,"shift"
"76",76,"801","SBPS","xc",NA,"FDI",100,"",NA,"",NA,"",NA,0,100,0,0," FDI",2023,"FDI","FDI",100,NA,NA,NA,NA,NA,NA,"FDI, PLI",11,89,0,0," PLI FDI","FDI","FDI",89,"PLI",11,NA,NA,NA,NA,"static"
"77",77,"806","IDF","dk",4,"FDI",70,"SX",30,"",NA,"",NA,0,70,30,0," FDI SX",2023,"Mix","FDI",70,"SX",30,NA,NA,NA,NA,"FDI",0,100,0,0," FDI","FDI","FDI",100,NA,NA,NA,NA,NA,NA,"shift"
"78",78,"808","IDF","dk",4,"FDI",86,"PLI",12,"SX",2,"",NA,12,86,2,0," PLI FDI SX",2023,"FDI","FDI",86,"PLI",12,"SX",2,NA,NA,"FDI, PLI",4,96,0,0," PLI FDI","FDI","FDI",96,"PLI",4,NA,NA,NA,NA,"static"
"79",79,"810","IDF","dk",4,"FDI",70,"PLI",30,"",NA,"",NA,30,70,0,0," PLI FDI",2023,"Mix","FDI",70,"PLI",30,NA,NA,NA,NA,"AT, FDI, PLI",18,66,0,16," PLI FDI AT","Mix","FDI",66,"PLI",18,"AT",16,NA,NA,"static"
"80",80,"812","IDF","xm",NA,"AT",70,"PLI",20,"FDI",10,"",NA,20,10,0,70," PLI FDI AT",2023,"Mix","AT",70,"PLI",20,"FDI",10,NA,NA,"AT, FDI, PLI, SX",3,6,6,84," PLI FDI SX AT","AT","AT",84,"FDI",6,"SX",6,"PLI",3,"shift"
"81",81,"814","SBPS","xc",NA,"PLI",100,"",NA,"",NA,"",NA,100,0,0,0," PLI",2023,"PLI","PLI",100,NA,NA,NA,NA,NA,NA,"AT, FDI",0,61,0,39," FDI AT","Mix","FDI",61,"AT",39,NA,NA,NA,NA,"shift"
"82",82,"815","IDF","xm",NA,"FDI",100,"",NA,"",NA,"",NA,0,100,0,0," FDI",2023,"FDI","FDI",100,NA,NA,NA,NA,NA,NA,"FDI",0,100,0,0," FDI","FDI","FDI",100,NA,NA,NA,NA,NA,NA,"static"
"83",83,"844","SBPS","xc",NA,"PLI",100,"",NA,"",NA,"",NA,100,0,0,0," PLI",2023,"PLI","PLI",100,NA,NA,NA,NA,NA,NA,"PLI",100,0,0,0," PLI","PLI","PLI",100,NA,NA,NA,NA,NA,NA,"static"
"84",84,"845","SBPS","xc",NA,"PLI",100,"",NA,"",NA,"",NA,100,0,0,0," PLI",2023,"PLI","PLI",100,NA,NA,NA,NA,NA,NA,"PLI",100,0,0,0," PLI","PLI","PLI",100,NA,NA,NA,NA,NA,NA,"static"
"85",85,"846","SBPS","xc",NA,"PLI",100,"",NA,"",NA,"",NA,100,0,0,0," PLI",2023,"PLI","PLI",100,NA,NA,NA,NA,NA,NA,"PLI",100,0,0,0," PLI","PLI","PLI",100,NA,NA,NA,NA,NA,NA,"static"
"86",86,"847","SBPS","xc",NA,"PLI",100,"",NA,"",NA,"",NA,100,0,0,0," PLI",2023,"PLI","PLI",100,NA,NA,NA,NA,NA,NA,"FDI, PLI",99,1,0,0," PLI FDI","PLI","PLI",99,"FDI",1,NA,NA,NA,NA,"static"
"87",87,"851","SBPS","xc",NA,"PLI",100,"",NA,"",NA,"",NA,100,0,0,0," PLI",2023,"PLI","PLI",100,NA,NA,NA,NA,NA,NA,"PLI",100,0,0,0," PLI","PLI","PLI",100,NA,NA,NA,NA,NA,NA,"static"
"88",88,"852","SBPS","xc",NA,"PLI",100,"",NA,"",NA,"",NA,100,0,0,0," PLI",2023,"PLI","PLI",100,NA,NA,NA,NA,NA,NA,"PLI",100,0,0,0," PLI","PLI","PLI",100,NA,NA,NA,NA,NA,NA,"static"
"89",89,"857","IDF","dk",4,"FDI",86,"PLI",10,"SX",4,"",NA,10,86,4,0," PLI FDI SX",2023,"FDI","FDI",86,"PLI",10,"SX",4,NA,NA,"FDI",0,100,0,0," FDI","FDI","FDI",100,NA,NA,NA,NA,NA,NA,"static"
"90",90,"859","IDF","dk",4,"FDI",73,"PLI",19,"SX",8,"",NA,19,73,8,0," PLI FDI SX",2023,"Mix","FDI",73,"PLI",19,"SX",8,NA,NA,"AT, FDI, SX",0,15,12,72," FDI SX AT","Mix","AT",72,"FDI",15,"SX",12,NA,NA,"static"
"91",91,"860","IDF","dk",4,"FDI",93,"PLI",4,"SX",3,"",NA,4,93,3,0," PLI FDI SX",2023,"FDI","FDI",93,"PLI",4,"SX",3,NA,NA,"AT, FDI, PLI, SX",20,10,10,60," PLI FDI SX AT","Mix","AT",60,"PLI",20,"FDI",10,"SX",10,"shift"
"92",92,"892","SBPS","xc",NA,"PLI",100,"",NA,"",NA,"",NA,100,0,0,0," PLI",2023,"PLI","PLI",100,NA,NA,NA,NA,NA,NA,"PLI",100,0,0,0," PLI","PLI","PLI",100,NA,NA,NA,NA,NA,NA,"static"
"93",93,"893","SBPS","xc",NA,"PLI",100,"",NA,"",NA,"",NA,100,0,0,0," PLI",2023,"PLI","PLI",100,NA,NA,NA,NA,NA,NA,"PLI",100,0,0,0," PLI","PLI","PLI",100,NA,NA,NA,NA,NA,NA,"static"
"94",94,"894","SBPS","xc",NA,"PLI",100,"",NA,"",NA,"",NA,100,0,0,0," PLI",2023,"PLI","PLI",100,NA,NA,NA,NA,NA,NA,"PLI",100,0,0,0," PLI","PLI","PLI",100,NA,NA,NA,NA,NA,NA,"static"
"95",95,"895","IDF","dk",4,"PLI",100,"",NA,"",NA,"",NA,100,0,0,0," PLI",2023,"PLI","PLI",100,NA,NA,NA,NA,NA,NA,"FDI, PLI",49,51,0,0," PLI FDI","Mix","FDI",51,"PLI",49,NA,NA,NA,NA,"shift"
"96",96,"899","SBPS","xc",NA,"PLI",100,"",NA,"",NA,"",NA,100,0,0,0," PLI",2023,"PLI","PLI",100,NA,NA,NA,NA,NA,NA,"PLI",100,0,0,0," PLI","PLI","PLI",100,NA,NA,NA,NA,NA,NA,"static"
"97",97,"900","IDF","dk",4,"PLI",70,"AT",30,"",NA,"",NA,70,0,0,30," PLI AT",2023,"Mix","PLI",70,"AT",30,NA,NA,NA,NA,"AT, FDI, PLI, SX, SX",15,15,4,66," PLI FDI SX AT","Mix","AT",66,"PLI",15,"FDI",15,"SX",4,"static"
"98",98,"903","IDF","dk",4,"FDI",50,"AT",22,"PLI",14,"SX",14,14,50,14,22," PLI FDI SX AT",2023,"Mix","FDI",50,"AT",22,"PLI",14,"SX",14,"AT, FDI, PLI",1,97,0,2," PLI FDI AT","FDI","FDI",97,"AT",2,"PLI",1,NA,NA,"shift"
"99",99,"933","IDF","dk",4,"FDI",76.19999695,"PLI",23.79999924,"",NA,"",NA,23.79999924,76.19999695,0,0," PLI FDI",2023,"Mix","FDI",76.19999695,"PLI",23.79999924,NA,NA,NA,NA,"FDI",0,100,0,0," FDI","FDI","FDI",100,NA,NA,NA,NA,NA,NA,"shift"
"100",100,"939","IDF","dk",4,"FDI",61,"PLI",30,"AT",5,"SX",4,30,61,4,5," PLI FDI SX AT",2023,"Mix","FDI",61,"PLI",30,"AT",5,"SX",4,"AT",0,0,0,100," AT","AT","AT",100,NA,NA,NA,NA,NA,NA,"shift"
"101",101,"949","IDF","dk",4,"FDI",51,"PLI",27,"SX",22,"",NA,27,51,22,0," PLI FDI SX",2023,"Mix","FDI",51,"PLI",27,"SX",22,NA,NA,"AT, FDI, PLI",1,34,0,65," PLI FDI AT","Mix","AT",65,"FDI",34,"PLI",1,NA,NA,"static"
