"","X","SampleSite_ID","BEC_Zone","BEC_Subzone","BEC_Variant","SPECIES_CD_1_1","SPECIES_PCT_1_1","SPECIES_CD_2_1","SPECIES_PCT_2_1","SPECIES_CD_3_1","SPECIES_PCT_3_1","SPECIES_CD_4_1","SPECIES_PCT_4_1","PLI_percent_pre","FDI_percent_pre","SX_percent_pre","AT_percent_pre","Species_pre","Year","Dominant_pre","LeadingSpecies_pre","LeadingPercent_pre","SecondSpecies_pre","SecondPercent_pre","ThirdSpecies_pre","ThirdPercent_pre","FourthSpecies_pre","FourthPercent_pre","SpeciesAll","PLI_percent","FDI_percent","SX_percent","AT_percent","Species","Dominant","LeadingSpecies","LeadingPercent","SecondSpecies","SecondPercent","ThirdSpecies","ThirdPercent","FourthSpecies","FourthPercent","Trans"
"102",102,"974","IDF","dk",4,"PLI",100,"",NA,"",NA,"",NA,100,0,0,0," PLI",2023,"PLI","PLI",100,NA,NA,NA,NA,NA,NA,"PLI",100,0,0,0," PLI","PLI","PLI",100,NA,NA,NA,NA,NA,NA,"static"
"103",103,"981","IDF","dk",4,"FDI",65,"PLI",20,"AT",15,"",NA,20,65,0,15," PLI FDI AT",2023,"Mix","FDI",65,"PLI",20,"AT",15,NA,NA,"AT, FDI",0,97,0,3," FDI AT","FDI","FDI",97,"AT",3,NA,NA,NA,NA,"shift"
"104",104,"988","IDF","dk",4,"PLI",100,"",NA,"",NA,"",NA,100,0,0,0," PLI",2023,"PLI","PLI",100,NA,NA,NA,NA,NA,NA,"AT, FDI, PLI",40,10,0,50," PLI FDI AT","Mix","AT",50,"PLI",40,"FDI",10,NA,NA,"shift"
"105",105,"1012","IDF","dk",4,"PLI",100,"",NA,"",NA,"",NA,100,0,0,0," PLI",2023,"PLI","PLI",100,NA,NA,NA,NA,NA,NA,"PLI",100,0,0,0," PLI","PLI","PLI",100,NA,NA,NA,NA,NA,NA,"static"
"106",106,"1022","IDF","dk",4,"FDI",72,"PLI",21,"AT",6,"SX",1,21,72,1,6," PLI FDI SX AT",2023,"Mix","FDI",72,"PLI",21,"AT",6,"SX",1,"AT",0,0,0,100," AT","AT","AT",100,NA,NA,NA,NA,NA,NA,"shift"
"107",107,"1024","IDF","dk",4,"FDI",57,"AT",21,"PLI",19,"SX",3,19,57,3,21," PLI FDI SX AT",2023,"Mix","FDI",57,"AT",21,"PLI",19,"SX",3,"FDI",0,100,0,0," FDI","FDI","FDI",100,NA,NA,NA,NA,NA,NA,"shift"
"108",108,"1045","IDF","dk",4,"FDI",80,"PLI",20,"",NA,"",NA,20,80,0,0," PLI FDI",2023,"FDI","FDI",80,"PLI",20,NA,NA,NA,NA,"FDI",0,100,0,0," FDI","FDI","FDI",100,NA,NA,NA,NA,NA,NA,"static"
"109",109,"1049","IDF","dk",4,"FDI",72,"PLI",21,"AT",6,"SX",1,21,72,1,6," PLI FDI SX AT",2023,"Mix","FDI",72,"PLI",21,"AT",6,"SX",1,"AT, FDI, PLI",20,14,0,66," PLI FDI AT","Mix","AT",66,"PLI",20,"FDI",14,NA,NA,"static"
"110",110,"1050","IDF","dk",4,"PLI",56,"FDI",33,"SX",11,"",NA,56,33,11,0," PLI FDI SX",2023,"Mix","PLI",56,"FDI",33,"SX",11,NA,NA,"AT, PLI",44,0,0,56," PLI AT","Mix","AT",56,"PLI",44,NA,NA,NA,NA,"static"
"111",111,"1053","IDF","dk",4,"PLI",70,"AT",20,"FDI",10,"",NA,70,10,0,20," PLI FDI AT",2023,"Mix","PLI",70,"AT",20,"FDI",10,NA,NA,"AT, FDI, PLI",5,94,0,1," PLI FDI AT","FDI","FDI",94,"PLI",5,"AT",1,NA,NA,"shift"
"112",112,"1068","IDF","dk",4,"PLI",100,"",NA,"",NA,"",NA,100,0,0,0," PLI",2023,"PLI","PLI",100,NA,NA,NA,NA,NA,NA,"FDI, PLI",75,25,0,0," PLI FDI","Mix","PLI",75,"FDI",25,NA,NA,NA,NA,"shift"
